start_size,probe,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,text.started,text.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,fix.started,fix.stopped,polygon.started,polygon.stopped,polygon_2.started,polygon_2.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,8.400376699995832,None,space,15.414582299999893,8.400376699995832,None,,,,,,,,001,2021_Jul_07_1830,TTC_sample3,2021.1.3,99.86907164707199,
1,0.5,0,0,0,4,,,,,,,23.86997960000008,None,24.860602099986863,None,24.860602099986863,None,,001,2021_Jul_07_1830,TTC_sample3,2021.1.3,99.86907164707199,
10,1.0,0,1,1,12,,,,,,,25.601122799998848,None,26.59186519999639,None,26.59186519999639,None,,001,2021_Jul_07_1830,TTC_sample3,2021.1.3,99.86907164707199,
10,-1.5,0,2,2,7,,,,,,,27.34228459998849,None,28.332958299986785,29.083462299997336,28.332958299986785,29.083462299997336,,001,2021_Jul_07_1830,TTC_sample3,2021.1.3,99.86907164707199,
10,-0.5,0,3,3,9,,,,,,,29.09347209999396,None,30.08414149998862,None,30.08414149998862,None,,001,2021_Jul_07_1830,TTC_sample3,2021.1.3,99.86907164707199,
10,-1.0,0,4,4,8,,,,,,,30.83475169999292,None,31.825408699995023,32.57585589999508,31.825408699995023,32.57585589999508,,001,2021_Jul_07_1830,TTC_sample3,2021.1.3,99.86907164707199,
1,1.0,0,5,5,5,,,,,,,32.58585719999974,None,33.57655659999,34.32711029998609,33.57655659999,34.32711029998609,,001,2021_Jul_07_1830,TTC_sample3,2021.1.3,99.86907164707199,
10,1.5,0,6,6,13,,,,,,,34.33707009999489,None,35.327705199990305,36.07821909998893,35.327705199990305,36.07821909998893,,001,2021_Jul_07_1830,TTC_sample3,2021.1.3,99.86907164707199,
1,0.0,0,7,7,3,,,,,,,36.08822479999799,None,37.078895599988755,37.829403299998376,37.078895599988755,37.829403299998376,,001,2021_Jul_07_1830,TTC_sample3,2021.1.3,99.86907164707199,
1,-1.0,0,8,8,1,,,,,,,37.839409099993645,None,38.83007819998602,39.58059249998769,38.83007819998602,39.58059249998769,,001,2021_Jul_07_1830,TTC_sample3,2021.1.3,99.86907164707199,
10,0.0,0,9,9,10,,,,,,,39.590686999988975,None,40.581276499986416,41.33178439999756,40.581276499986416,41.33178439999756,,001,2021_Jul_07_1830,TTC_sample3,2021.1.3,99.86907164707199,
1,-0.5,0,10,10,2,,,,,,,41.341766099998495,None,42.33246119999967,43.08297409999068,42.33246119999967,43.08297409999068,,001,2021_Jul_07_1830,TTC_sample3,2021.1.3,99.86907164707199,
10,0.5,0,11,11,11,,,,,,,43.09298419998959,None,44.083654299989576,None,44.083654299989576,None,,001,2021_Jul_07_1830,TTC_sample3,2021.1.3,99.86907164707199,
1,-1.5,0,12,12,0,,,,,,,44.83416109999234,None,45.824831399993855,46.57535139999527,45.824831399993855,46.57535139999527,,001,2021_Jul_07_1830,TTC_sample3,2021.1.3,99.86907164707199,
1,1.5,0,13,13,6,,,,,,,46.585349399989354,None,47.57612679999147,48.32663509999111,47.57612679999147,48.32663509999111,,001,2021_Jul_07_1830,TTC_sample3,2021.1.3,99.86907164707199,
10,-0.5,1,0,14,9,,,,,,,48.33657419998781,None,49.32722579999245,50.07771909999428,49.32722579999245,50.07771909999428,,001,2021_Jul_07_1830,TTC_sample3,2021.1.3,99.86907164707199,
10,-1.5,1,1,15,7,,,,,,,50.08772599999793,None,51.07840009999927,51.82891019999806,51.07840009999927,51.82891019999806,,001,2021_Jul_07_1830,TTC_sample3,2021.1.3,99.86907164707199,
1,0.0,1,2,16,3,,,,,,,51.83891949999088,None,52.82959769999434,53.5800964999944,52.82959769999434,53.5800964999944,,001,2021_Jul_07_1830,TTC_sample3,2021.1.3,99.86907164707199,
10,1.5,1,3,17,13,,,,,,,53.590196199991624,None,54.580849399993895,55.33137439998973,54.580849399993895,55.33137439998973,,001,2021_Jul_07_1830,TTC_sample3,2021.1.3,99.86907164707199,
1,0.5,1,4,18,4,,,,,,,55.34132859999954,None,56.33199729998887,57.082471199988504,56.33199729998887,57.082471199988504,,001,2021_Jul_07_1830,TTC_sample3,2021.1.3,99.86907164707199,
1,1.5,1,5,19,6,,,,,,,57.092493299991474,None,58.08317939999688,58.83365539999795,58.08317939999688,58.83365539999795,,001,2021_Jul_07_1830,TTC_sample3,2021.1.3,99.86907164707199,
10,0.0,1,6,20,10,,,,,,,58.843661399994744,None,59.83434239999042,None,59.83434239999042,None,,001,2021_Jul_07_1830,TTC_sample3,2021.1.3,99.86907164707199,
10,-1.0,1,7,21,8,,,,,,,60.58494219998829,None,61.57552909999504,62.32603549999476,61.57552909999504,62.32603549999476,,001,2021_Jul_07_1830,TTC_sample3,2021.1.3,99.86907164707199,
1,1.0,1,8,22,5,,,,,,,62.33604249999917,None,63.326749799991376,64.07730369998899,63.326749799991376,64.07730369998899,,001,2021_Jul_07_1830,TTC_sample3,2021.1.3,99.86907164707199,
1,-1.5,1,9,23,0,,,,,,,64.08726439999009,None,65.07790099999693,65.8284122999903,65.07790099999693,65.8284122999903,,001,2021_Jul_07_1830,TTC_sample3,2021.1.3,99.86907164707199,
10,0.5,1,10,24,11,,,,,,,65.8384209999931,None,66.82908929999394,67.57960019999882,66.82908929999394,67.57960019999882,,001,2021_Jul_07_1830,TTC_sample3,2021.1.3,99.86907164707199,
