trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,text.started,text.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,fix.started,fix.stopped,polygon.started,polygon.stopped,polygon_2.started,polygon_2.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,114.96777069999735,None,space,0.9225345999984711,114.96777069999735,None,,,,,,,,001,2021_Jun_30_1847,TTC_sample3,2021.1.3,60.072002302557976,
0,0,0,0,,,,,,,115.90536509999947,None,116.88855129999865,117.63859559999764,116.88855129999865,117.63859559999764,,001,2021_Jun_30_1847,TTC_sample3,2021.1.3,60.072002302557976,
1,0,1,0,,,,,,,117.65527509999811,117.65527509999811,118.63868029999867,119.3883911999983,118.63868029999867,119.3883911999983,,001,2021_Jun_30_1847,TTC_sample3,2021.1.3,60.072002302557976,
2,0,2,0,,,,,,,119.40509879999809,119.40509879999809,120.38858039999832,121.1382295000003,120.38858039999832,121.1382295000003,,001,2021_Jun_30_1847,TTC_sample3,2021.1.3,60.072002302557976,
3,0,3,0,,,,,,,121.15476809999745,121.15476809999745,122.13825609999913,122.88831189999837,122.13825609999913,122.88831189999837,,001,2021_Jun_30_1847,TTC_sample3,2021.1.3,60.072002302557976,
4,0,4,0,,,,,,,122.90811469999971,122.90811469999971,123.90481179999915,124.65450399999827,123.90481179999915,124.65450399999827,,001,2021_Jun_30_1847,TTC_sample3,2021.1.3,60.072002302557976,
5,0,5,0,,,,,,,124.67077399999835,None,125.65481519999958,126.40407109999796,125.65481519999958,126.40407109999796,,001,2021_Jun_30_1847,TTC_sample3,2021.1.3,60.072002302557976,
6,0,6,0,,,,,,,126.42072669999834,None,127.40432539999892,128.1541963999989,127.40432539999892,128.1541963999989,,001,2021_Jun_30_1847,TTC_sample3,2021.1.3,60.072002302557976,
7,0,7,0,,,,,,,128.17084439999962,None,129.1541889,129.90398099999948,129.1541889,129.90398099999948,,001,2021_Jun_30_1847,TTC_sample3,2021.1.3,60.072002302557976,
8,0,8,0,,,,,,,129.92041289999906,None,130.90418130000035,131.65374489999886,130.90418130000035,131.65374489999886,,001,2021_Jun_30_1847,TTC_sample3,2021.1.3,60.072002302557976,
9,0,9,0,,,,,,,131.67048839999916,None,132.65396039999905,133.40379129999928,132.65396039999905,133.40379129999928,,001,2021_Jun_30_1847,TTC_sample3,2021.1.3,60.072002302557976,
10,0,10,0,,,,,,,133.4202570999987,None,134.40380359999835,135.1535373000006,134.40380359999835,135.1535373000006,,001,2021_Jun_30_1847,TTC_sample3,2021.1.3,60.072002302557976,
11,0,11,0,,,,,,,135.17009859999962,None,136.15363979999893,136.90336829999796,136.15363979999893,136.90336829999796,,001,2021_Jun_30_1847,TTC_sample3,2021.1.3,60.072002302557976,
12,0,12,0,,,,,,,136.91991319999943,None,137.90348649999942,138.65317370000048,137.90348649999942,138.65317370000048,,001,2021_Jun_30_1847,TTC_sample3,2021.1.3,60.072002302557976,
13,0,13,0,,,,,,,138.6695041999992,None,139.65330299999914,140.40290189999723,139.65330299999914,140.40290189999723,,001,2021_Jun_30_1847,TTC_sample3,2021.1.3,60.072002302557976,
