,sub,cond,x,y,rt
17,f,II,1.15,1.0,0.4681659999769181
18,f,II,0.94,0.0,0.4691762999864295
19,f,II,1.03,1.0,0.3963613000232726
20,f,II,1.0,1.0,1.097234299988486
21,f,II,0.97,0.0,0.601869500009343
22,f,IU,1.06,1.0,0.4406907999655232
23,f,UI,1.06,1.0,0.471803699969314
24,f,UU,1.0,0.0,0.4307359000667929
25,f,II,0.85,0.0,0.4876697999425232
26,f,UU,1.06,1.0,0.5807334999553859
27,f,IU,1.03,1.0,0.8397083999589086
28,f,UI,0.97,0.0,0.7905512999277562
29,f,UU,0.85,0.0,0.4293072000145912
30,f,IU,0.97,0.0,2.1881957000587136
31,f,UU,1.15,1.0,0.4200495000695809
32,f,UI,1.0,1.0,0.72748080000747
33,f,IU,1.0,1.0,2.4579208999639377
34,f,UI,1.06,1.0,0.531823500059545
35,f,UU,1.03,1.0,0.456536499899812
36,f,UU,0.94,0.0,0.4676729999482631
37,f,UU,1.03,0.0,0.7145994999445975
38,f,IU,0.85,0.0,0.5134916000533849
39,f,IU,1.03,1.0,1.4083470000186935
40,f,II,0.97,1.0,0.6929461999097839
41,f,UI,0.94,0.0,0.8056515000062063
42,f,UI,1.03,0.0,1.656376100028865
43,f,UI,1.03,1.0,1.2246707000304011
44,f,UU,0.94,0.0,0.5770339999580756
45,f,UU,1.06,1.0,0.4900122999679297
46,f,IU,1.15,1.0,0.5348654999397695
47,f,UI,0.85,0.0,0.5299231000244617
48,f,UU,0.97,0.0,0.525024599977769
49,f,IU,0.94,0.0,0.4877521999878809
50,f,UI,0.97,0.0,0.5866310999263078
51,f,II,0.85,0.0,0.4676737999543547
52,f,IU,0.97,0.0,0.5167857999913394
53,f,UU,0.85,0.0,0.4478800999931991
54,f,UU,1.15,1.0,0.5547479999950156
55,f,II,1.06,1.0,0.423584199976176
56,f,UI,0.85,0.0,0.4165871000150218
57,f,UI,1.15,1.0,0.4838073999853804
58,f,IU,1.0,1.0,0.486780900042504
59,f,II,1.03,1.0,0.5916297000367194
60,f,II,1.0,0.0,0.4945588000118732
61,f,IU,1.15,1.0,0.4175131999654695
62,f,UU,1.0,0.0,0.4746765999589115
63,f,II,1.06,1.0,0.4616869000019505
64,f,II,0.94,0.0,0.4306859000353142
65,f,UI,0.94,0.0,0.5255380000453442
66,f,UU,0.97,0.0,0.434501799987629
67,f,II,1.15,1.0,0.3695569999981671
68,f,IU,0.94,0.0,0.4067388999974355
69,f,IU,0.85,0.0,0.4316417999798432
70,f,UI,1.15,1.0,0.3885633000172674
71,f,UI,1.0,1.0,0.3896782000083476
72,f,IU,1.06,1.0,0.6149096000008285
73,f,UI,1.03,1.0,0.551800400018692
74,f,UU,0.85,0.0,0.4146389999659732
75,f,UI,1.15,1.0,0.4396864000009373
76,f,IU,0.97,1.0,0.4548483999678865
77,f,IU,1.03,1.0,0.6216055999975652
78,f,IU,1.03,1.0,0.6705986000597477
79,f,II,0.97,0.0,0.5735119000310078
80,f,UI,0.97,0.0,0.4543000999838114
81,f,II,1.15,1.0,0.3852915000170469
82,f,IU,0.85,0.0,0.4564983000745997
83,f,II,1.03,1.0,0.4635019999695942
84,f,IU,1.0,0.0,0.8763531999429688
85,f,II,1.0,0.0,0.7550648999167606
86,f,II,0.85,0.0,0.4819279999937862
87,f,UI,0.85,0.0,0.4408717999467626
88,f,UU,0.94,1.0,0.4458734999643639
89,f,UI,1.15,1.0,0.4508480000076815
90,f,UU,1.0,0.0,0.4879137999378145
91,f,UU,1.03,1.0,0.7729173999978229
92,f,UI,1.06,1.0,0.4797229999676347
93,f,IU,0.94,0.0,0.5245424000313506
94,f,UU,0.97,1.0,0.76958670001477
95,f,UU,1.06,1.0,0.7746586999855936
96,f,II,1.06,1.0,0.5253739000763744
97,f,UU,1.06,1.0,0.5101942999754101
98,f,UU,0.94,0.0,0.6211797998985276
99,f,UI,1.0,1.0,0.9680080999387428
100,f,UU,0.97,0.0,0.564920499920845
101,f,UI,0.94,0.0,1.25579900003504
102,f,II,1.06,1.0,0.6159976000199094
103,f,UI,1.06,1.0,1.0590235000709072
104,f,UU,1.15,1.0,0.5817715000594035
105,f,II,1.15,1.0,0.4784079000819474
106,f,UI,0.85,0.0,0.4373688000487163
107,f,UI,1.03,1.0,1.4126071000937372
108,f,IU,1.15,1.0,0.7189615999814123
109,f,II,0.85,0.0,0.5238613000838086
110,f,IU,1.06,1.0,0.6628176999511197
111,f,II,0.97,0.0,0.5495049000019208
112,f,IU,0.94,0.0,0.6304584000026807
113,f,UU,1.03,1.0,0.5514587999787182
114,f,UU,1.15,1.0,0.5424521999666467
115,f,IU,0.97,0.0,1.2432181000476703
116,f,II,0.94,0.0,1.5996920999605209
117,f,UU,0.85,0.0,0.5499463999876752
118,f,UI,1.0,1.0,1.942853800021112
119,f,II,0.94,0.0,0.6229824998881668
120,f,II,1.03,1.0,1.0081129999598488
121,f,IU,1.06,1.0,1.1145723001100123
122,f,IU,1.0,1.0,0.99890999996569
123,f,IU,1.15,1.0,0.549726799945347
124,f,II,1.0,1.0,1.916703599970788
125,f,UI,0.97,0.0,0.5905107000144199
126,f,UI,0.94,0.0,0.5194784000050277
127,f,UU,1.0,1.0,1.5266021999996156
128,f,IU,0.85,0.0,0.9108229000121356
130,f,II,0.97,0.0,0.8391973000252619
131,f,IU,1.03,0.0,0.5719609999796376
132,f,UU,0.85,0.0,0.436871400102973
133,f,IU,1.03,0.0,0.7939206999726593
134,f,UU,0.97,0.0,0.4806185000343248
135,f,UU,1.03,1.0,0.5997061999514699
136,f,II,1.06,1.0,0.5246336000273004
137,f,UI,1.0,0.0,1.0474602999165654
138,f,UI,0.94,0.0,0.5800552000291646
139,f,IU,1.06,1.0,0.6149672999745235
140,f,IU,1.15,1.0,0.5620145999127999
141,f,II,0.94,0.0,0.4749404999893158
142,f,UI,0.85,0.0,0.4557718000141904
143,f,UU,0.94,0.0,0.722918099956587
144,f,UU,1.06,1.0,0.4957416000543162
145,f,UI,1.06,1.0,0.5367699000053108
146,f,UI,0.97,0.0,0.5914431000128388
147,f,UU,1.15,1.0,0.5684059000341222
148,f,II,1.03,1.0,0.9977013000752776
149,f,UU,0.94,1.0,1.1300581999821588
150,f,UI,1.06,1.0,0.8126571999164298
151,f,UU,1.15,1.0,0.4534041000297293
152,f,IU,0.85,0.0,0.4484543000580743
153,f,UU,0.85,0.0,0.4435113000217825
154,f,II,0.85,0.0,0.4284335999982431
155,f,UI,1.03,1.0,0.4755280000390485
156,f,IU,0.94,0.0,0.936340200016275
157,f,UI,0.97,0.0,0.4831341999815777
158,f,II,1.15,1.0,0.444186299922876
159,f,II,0.85,0.0,0.4611826000036672
160,f,UI,1.15,1.0,0.3819497999502346
161,f,II,1.06,1.0,0.4630918999901041
162,f,UU,1.06,1.0,0.6722484000492841
163,f,IU,0.94,0.0,0.4370829999679699
164,f,UI,1.0,1.0,1.376122200046666
165,f,IU,1.0,0.0,0.5523804000113159
166,f,II,1.15,1.0,0.4793716000858694
167,f,IU,0.85,0.0,0.5242626999970526
168,f,UU,1.0,0.0,0.4652672000229358
169,f,IU,1.06,0.0,0.6261525000445545
170,f,IU,1.15,1.0,0.7712169999722391
171,f,II,1.0,1.0,0.6960173998959363
172,f,IU,0.97,0.0,0.7609912999905646
173,f,II,1.03,1.0,0.9257038000505418
174,f,UI,0.85,0.0,0.6322341000195593
175,f,UI,0.94,1.0,0.8471069000661373
176,f,II,0.97,0.0,0.7719914999324828
177,f,II,0.94,0.0,0.5586452001007274
178,f,UU,1.0,1.0,0.5496977999573573
179,f,UU,0.97,0.0,1.254686800064519
180,f,IU,0.97,0.0,0.8449902000138536
181,f,UU,1.03,1.0,1.185775600024499
182,f,UI,1.03,1.0,0.5042318999767303
183,f,UI,1.15,1.0,0.5133727000793442
184,f,IU,1.0,1.0,1.6643486999673769
185,f,II,1.0,1.0,4.000432600034401
186,f,UU,1.06,1.0,0.6832500000018626
187,f,II,0.85,0.0,0.5497979000210762
188,f,II,1.0,1.0,0.940995000069961
189,f,IU,1.15,1.0,0.5515486999647692
190,f,IU,1.06,1.0,0.6165566999698058
191,f,IU,0.97,0.0,1.2955051999306306
192,f,UU,1.0,0.0,1.111899600015022
193,f,UI,0.85,0.0,0.6383568999590352
194,f,UU,1.15,1.0,0.5712407999671996
195,f,UU,0.94,0.0,0.4780769000062719
196,f,UI,1.03,1.0,0.709008099976927
197,f,UI,1.06,1.0,0.4859370000194758
198,f,II,0.85,0.0,0.4509727000258863
199,f,UI,0.94,0.0,0.5099880999187008
200,f,IU,1.15,1.0,0.5408813999965787
201,f,UU,0.85,0.0,0.5738681999500841
202,f,IU,0.85,0.0,0.7847530000144616
203,f,IU,1.0,1.0,0.9776871999492868
204,f,II,1.06,1.0,0.6083167999750003
205,f,UU,0.97,0.0,1.0989848000463098
206,f,UI,0.85,0.0,0.6617311999434605
207,f,IU,1.03,1.0,2.622618000023067
208,f,IU,0.94,0.0,0.8399722999893129
209,f,UU,1.06,0.0,0.8230299000861123
210,f,IU,0.85,0.0,0.523753400077112
211,f,IU,0.97,0.0,0.6625873999437317
212,f,II,0.94,0.0,0.7515153000131249
213,f,UI,0.97,0.0,1.4543304000981152
214,f,II,0.97,0.0,1.3926088999724016
215,f,UI,1.15,1.0,0.5327980000292882
216,f,UI,0.94,0.0,0.4797634999267757
217,f,II,1.15,1.0,0.5668464000336826
218,f,UI,1.15,1.0,0.531915899948217
219,f,UU,0.97,0.0,1.3047184000024572
220,f,II,1.06,1.0,1.777073899982497
221,f,UU,0.94,0.0,0.7876940000569448
222,f,II,0.97,0.0,1.3602335000177843
223,f,II,1.03,1.0,0.9725963999517262
224,f,UU,0.85,0.0,0.5649154999991879
225,f,II,1.0,1.0,0.8501272000139579
226,f,II,1.15,1.0,0.6529150999849662
227,f,IU,0.94,0.0,0.7676530000753701
228,f,UU,1.03,1.0,0.740455099963583
229,f,UU,1.0,1.0,0.7433574999449775
230,f,UI,1.03,1.0,1.1160616000415755
231,f,II,0.94,0.0,0.8186429000925273
232,f,IU,1.0,0.0,1.6433951000217348
233,f,UI,1.06,1.0,0.5757311000488698
234,f,IU,1.03,0.0,2.8564519999781623
235,f,UI,1.0,1.0,2.4820333999814466
236,f,IU,1.06,0.0,1.5016258000396192
237,f,UU,1.03,1.0,1.3418632000684738
238,f,UI,1.0,1.0,0.6965140999527648
239,f,UU,1.15,1.0,0.5374516000738367
240,f,UI,0.97,0.0,0.6981328999390826
241,f,II,1.03,1.0,0.9548742999322712
243,f,UI,1.03,1.0,1.5838000000221657
244,f,UU,1.15,1.0,0.4959532000357285
245,f,UI,0.97,0.0,0.515085400082171
246,f,UI,0.85,0.0,0.5461443999083713
247,f,UI,1.0,0.0,0.5429391999496147
248,f,UU,1.0,1.0,0.8798584999749437
249,f,IU,1.0,0.0,0.5726742999395356
250,f,UI,0.97,0.0,0.8156446000793949
251,f,IU,0.94,0.0,0.6744368999497965
252,f,UU,0.97,1.0,0.5512825000332668
253,f,IU,1.15,1.0,0.599984799977392
254,f,UU,1.15,1.0,0.4390523000620305
255,f,IU,0.85,0.0,0.4699958000564948
256,f,UI,1.06,1.0,0.8390523999696597
257,f,UI,1.06,1.0,0.5077428999356925
258,f,IU,1.0,1.0,0.5867105999495834
259,f,UI,0.94,0.0,0.4997815999668091
260,f,UU,0.94,0.0,0.4866268000332638
261,f,UU,0.85,0.0,0.473701799986884
262,f,UU,1.03,0.0,0.4965197000419721
263,f,IU,0.94,0.0,0.499581600073725
264,f,II,0.94,0.0,0.5025603000540286
265,f,IU,1.06,1.0,0.4636573001043871
266,f,II,1.03,1.0,1.036545200040564
267,f,II,1.15,1.0,0.4350398000096902
268,f,IU,1.03,1.0,0.5623525000410154
269,f,II,0.85,0.0,0.4791209000395611
270,f,UI,0.94,0.0,0.4541781999869272
271,f,UU,1.06,1.0,0.5290293000871316
272,f,UU,0.85,0.0,0.4380222000181675
273,f,IU,0.97,0.0,0.6931911000283435
274,f,II,1.06,1.0,0.4641058000270277
275,f,II,1.0,0.0,0.8449532999657094
276,f,II,1.0,0.0,0.9776505000190808
277,f,IU,0.85,0.0,0.5064071998931468
278,f,UI,1.15,1.0,0.4192807000363245
279,f,II,1.03,1.0,0.8704617000184953
280,f,II,0.97,0.0,0.6049512000754476
281,f,IU,1.03,1.0,0.9619628000073136
282,f,II,0.85,0.0,0.526598299969919
283,f,UI,1.03,1.0,1.2996846999740228
284,f,UU,1.03,1.0,0.5560959000140429
285,f,UI,0.85,0.0,0.472915899939835
286,f,IU,0.97,0.0,0.784032900002785
287,f,UU,0.97,0.0,1.952824700041674
288,f,UI,1.0,1.0,0.8086044000228867
289,f,UU,1.0,0.0,2.8054976999992505
290,f,II,0.94,0.0,0.7530786000424996
291,f,II,1.15,1.0,0.5657575000077486
292,f,UI,1.15,1.0,0.4986365999793634
293,f,IU,1.15,1.0,0.5176165000302717
294,f,UU,0.94,0.0,0.5326818000758067
295,f,UU,1.06,1.0,0.4755975999869406
296,f,II,0.97,0.0,0.5785338000860065
297,f,II,1.06,1.0,0.5554681000066921
298,f,IU,1.06,1.0,3.2026698999106884
299,f,IU,0.85,0.0,0.8295317000010982
300,f,II,1.0,1.0,1.3563798000104723
301,f,II,0.85,0.0,0.4887630000011995
302,f,UU,1.06,1.0,0.571724999928847
303,f,II,1.06,1.0,0.6165738999843597
304,f,UU,0.85,0.0,0.5695084000471979
305,f,UI,0.94,0.0,0.6145983999595046
306,f,II,0.94,0.0,0.7976694999961182
307,f,II,1.15,1.0,0.4581831999821588
308,f,II,0.97,0.0,0.5712728999787942
309,f,II,1.03,1.0,0.6541134000290185
310,f,UI,0.97,1.0,0.5451016000006348
311,f,IU,1.06,1.0,0.6698959999484941
312,f,UU,1.0,1.0,1.2606759000336751
313,f,UU,1.03,1.0,0.5571528999134898
314,f,IU,0.97,0.0,0.7563112999778241
315,f,IU,1.15,1.0,0.7989641000749543
316,f,IU,1.0,0.0,0.5016540000215173
317,f,IU,1.06,1.0,0.9206394000211732
318,f,UU,0.85,0.0,0.5514359000371769
319,f,UI,1.06,1.0,0.6864288999931887
320,f,II,1.15,1.0,0.5373771999729797
321,f,UI,1.15,1.0,0.5541130000492558
