,sub,cond,x,y,rt
17,n,II,1.15,1.0,0.6544219000061275
18,n,II,0.85,0.0,0.439413300002343
19,n,UU,1.15,1.0,0.4064248000067891
20,n,UI,1.0,1.0,0.4675360999972326
21,n,IU,0.85,0.0,0.5283480000070995
22,n,II,1.06,1.0,0.4533750999980839
23,n,II,1.15,1.0,0.3904674000077648
24,n,UI,0.94,0.0,0.5033878000103869
25,n,UI,1.03,0.0,0.5766113999998197
26,n,II,0.97,0.0,0.7133204999990994
27,n,UU,0.85,0.0,0.4640983999997843
28,n,UU,1.15,1.0,0.4171313000115333
29,n,UI,1.03,1.0,0.4041464999900199
30,n,UU,0.94,0.0,0.465338599999086
31,n,UU,0.97,0.0,1.5762273000000278
32,n,UI,1.15,1.0,0.5144811000063783
33,n,UI,0.97,0.0,0.3853551000065636
34,n,II,0.85,0.0,0.4824771999992663
35,n,UI,1.06,1.0,0.3736516999924788
36,n,II,0.94,0.0,0.8384464000118896
37,n,IU,1.03,1.0,0.3953120999940438
38,n,IU,0.94,1.0,0.4502565000002505
39,n,II,1.0,1.0,0.4233769999991637
40,n,UU,0.85,0.0,0.3962663999991491
41,n,UU,1.06,1.0,0.4834467000036966
42,n,IU,1.06,1.0,0.4384653000015532
43,n,IU,1.06,1.0,0.677484200001345
44,n,IU,0.94,0.0,0.4522721999965142
45,n,IU,1.0,1.0,0.8052796999982093
46,n,II,0.94,0.0,0.4499018000060459
47,n,IU,0.85,0.0,0.3749997999984771
48,n,UU,1.03,1.0,0.7862027999944985
49,n,UI,0.97,0.0,0.8888988999970024
50,n,UI,0.85,0.0,0.4756575999927008
51,n,UI,1.15,1.0,0.3765540000022156
52,n,IU,0.97,0.0,0.5638133999891579
53,n,UU,1.0,1.0,0.5125821000110591
54,n,II,1.03,1.0,0.3894371000060346
55,n,II,1.06,1.0,0.4546694999880856
56,n,IU,1.0,0.0,0.5294486999919172
57,n,IU,1.15,1.0,0.390534000005573
58,n,UU,1.06,1.0,0.487815500004217
59,n,UI,0.85,0.0,0.3305426000006264
60,n,II,0.97,0.0,0.4075609999999869
61,n,UU,1.03,1.0,0.4366328999894904
62,n,UU,0.94,0.0,0.3556854000053135
63,n,UI,1.0,1.0,0.3707566999946721
64,n,IU,1.03,1.0,0.6160798999917461
65,n,UI,0.94,0.0,0.3929688000062015
