,sub,cond,x,y,rt
17,p,II,1.15,1.0,0.55350740000722
18,p,IU,1.03,1.0,0.8325426000228617
19,p,II,1.03,1.0,0.5171279000060167
20,p,II,1.03,1.0,1.332188500004122
21,p,II,0.85,0.0,0.8246606000175234
22,p,UI,1.0,0.0,0.6794528000173159
23,p,II,0.97,0.0,1.1480754000076558
24,p,UI,1.0,1.0,0.938656699989224
25,p,UU,0.97,0.0,0.6034549000032712
26,p,UI,0.97,0.0,1.814386000012746
27,p,II,1.06,1.0,0.7904349000018556
28,p,UI,1.06,1.0,1.12727709999308
29,p,UI,0.94,0.0,0.8796851999941282
30,p,UU,1.0,0.0,1.3883239999995567
31,p,UU,1.15,1.0,0.5547235999838449
32,p,UU,0.97,0.0,1.3137442999868654
33,p,UU,1.06,1.0,0.7901622999925166
34,p,UU,1.15,1.0,0.5088629000238143
35,p,UI,1.03,1.0,0.5558201000094414
36,p,IU,0.97,0.0,0.8828644999885
37,p,II,1.0,1.0,1.109534299990628
38,p,UU,0.85,0.0,0.492141900002025
39,p,II,0.94,0.0,0.4949994999915361
40,p,II,0.97,0.0,0.5300210999848787
41,p,IU,1.06,1.0,0.6369703999953344
42,p,UI,1.15,1.0,0.5318027000175789
43,p,IU,1.06,1.0,0.7027554000087548
44,p,UI,1.06,1.0,0.4956294999865349
45,p,IU,1.0,1.0,1.1227227000053972
46,p,II,0.94,0.0,0.6292292999860365
47,p,IU,1.15,1.0,0.5500688999891281
48,p,IU,1.15,1.0,0.4769789999991189
49,p,II,1.15,1.0,0.500001299980795
50,p,IU,0.85,0.0,0.4710100000083912
51,p,II,1.06,1.0,0.526093899999978
52,p,UI,0.85,0.0,0.4888892000017222
53,p,UU,1.03,1.0,1.7078437999880407
54,p,IU,1.0,1.0,1.5300684999965597
55,p,UU,0.94,0.0,1.7244014000170864
56,p,IU,0.94,0.0,0.5924652999965474
57,p,UU,1.06,1.0,1.199467900005402
58,p,UU,0.94,0.0,1.004022300010547
59,p,IU,0.97,0.0,0.5664287999970838
60,p,II,1.0,0.0,1.0596227000060026
61,p,UU,1.0,0.0,1.6122171000170056
62,p,II,0.85,0.0,0.574276600003941
63,p,IU,0.85,0.0,0.4172154999978374
64,p,UI,0.85,0.0,0.4843263000075239
65,p,UI,0.97,0.0,0.615368300001137
66,p,UU,0.85,0.0,0.4880877000105101
67,p,UI,1.15,1.0,0.4689986999728717
68,p,IU,1.03,1.0,0.4380816000048071
69,p,UI,1.03,0.0,1.2851262000040151
70,p,UI,0.94,0.0,0.6096351000014693
71,p,IU,0.94,0.0,0.7004240000096615
72,p,UU,1.03,1.0,1.0952701999922283
73,p,UI,1.15,1.0,0.5138931999972556
74,p,UU,0.85,0.0,0.4650030999910086
75,p,II,1.0,1.0,1.1117734000144992
76,p,UU,1.0,0.0,2.056358400004683
77,p,UI,1.03,1.0,1.1764575999986846
78,p,II,1.06,1.0,0.5371924999926705
79,p,UU,0.97,0.0,1.0176846999966074
80,p,II,1.03,0.0,1.6844398999819532
81,p,UU,0.85,0.0,0.4706595000170637
82,p,UU,0.94,0.0,0.5516109000018332
83,p,UU,1.0,1.0,0.6226461000042036
84,p,IU,1.0,0.0,0.5114942000072915
85,p,UI,1.03,1.0,0.5366576999949757
86,p,UU,1.15,1.0,0.4634651000087615
87,p,IU,1.15,1.0,0.5242620999924839
88,p,UI,0.94,0.0,0.4492212000186555
89,p,II,1.15,1.0,0.4702363999967929
90,p,IU,0.94,0.0,0.9034057999961078
91,p,IU,1.03,0.0,0.7520873000030406
92,p,UI,1.0,1.0,0.7027892000041902
93,p,II,0.94,0.0,0.5337482999893837
94,p,IU,1.15,1.0,0.4806924999866169
95,p,UU,1.03,1.0,0.5255825000058394
96,p,II,1.06,1.0,0.5684788999787997
97,p,II,0.85,0.0,0.5234170000185259
98,p,II,0.94,0.0,0.7206027000211179
99,p,UI,1.0,1.0,0.5892889999959152
100,p,II,1.03,1.0,0.588129999989178
101,p,UU,1.15,1.0,0.5010397000005469
102,p,UI,0.94,0.0,0.504093900002772
103,p,UI,1.06,1.0,1.0091932000068482
104,p,UU,1.06,1.0,1.5957969000155572
105,p,UU,1.03,1.0,1.415810500009684
106,p,UI,0.85,0.0,0.5782191999896895
107,p,IU,0.85,0.0,0.5812577000178862
108,p,UU,1.06,1.0,0.5421952999895439
109,p,II,0.85,0.0,0.5271788999962155
110,p,IU,0.85,0.0,0.4579819999926258
111,p,II,1.15,1.0,0.4530263000051491
112,p,IU,0.94,0.0,0.9283419999992476
113,p,IU,1.0,1.0,1.3387623000016902
114,p,UU,0.97,0.0,0.6672224999929313
115,p,IU,0.97,1.0,0.932006699993508
116,p,UI,0.97,0.0,1.022765999980038
117,p,UI,0.97,0.0,0.5974367999879178
118,p,IU,1.06,1.0,0.6022332000138704
119,p,UU,0.94,0.0,0.6710847000067588
120,p,UI,1.06,1.0,0.5681369999947492
121,p,II,0.97,0.0,0.5709405000088736
122,p,II,1.0,0.0,0.6218288999807555
123,p,IU,1.06,1.0,0.8046580000082031
124,p,UI,0.85,0.0,0.5135470000095665
125,p,UI,1.15,1.0,0.5025150000001304
126,p,IU,1.03,1.0,1.0455371999996714
127,p,IU,0.97,1.0,1.2879608000221197
128,p,II,0.97,1.0,1.428587600006722
130,p,UU,0.94,0.0,1.8612444000027608
131,p,IU,0.94,0.0,0.7492229999916162
132,p,UI,0.97,1.0,1.02007849997608
133,p,UI,0.97,0.0,0.9987498999980744
134,p,II,0.94,0.0,0.5654586000018753
135,p,II,1.06,1.0,0.9683115000079852
136,p,II,1.03,1.0,0.7148720999830402
137,p,II,0.97,0.0,0.6259851999930106
138,p,UU,0.94,0.0,0.5048280999762937
139,p,II,0.85,0.0,0.5357500000100117
140,p,UI,1.03,1.0,0.4884362000157125
141,p,UU,1.03,1.0,0.5816142999974545
142,p,IU,0.97,0.0,0.4884345000027679
143,p,UI,1.15,1.0,0.4855467000161297
144,p,UU,1.0,1.0,0.5845569999946747
145,p,IU,1.0,0.0,0.4713757999998051
146,p,UU,0.97,1.0,0.5204631999949925
147,p,UI,1.0,1.0,0.7594978999986779
148,p,II,1.15,1.0,0.5243552000029013
149,p,UU,0.85,0.0,0.4330256000102963
150,p,UU,0.85,0.0,1.3121534000092652
151,p,UI,1.03,0.0,0.7505722999922
152,p,UU,1.0,0.0,0.5093786000215914
153,p,IU,1.15,1.0,0.460265600006096
154,p,II,0.97,0.0,0.5254062000021804
155,p,IU,0.85,0.0,1.0422072999936065
156,p,UI,0.94,0.0,1.1349048000120092
157,p,UU,1.15,1.0,0.4652647000038996
158,p,IU,0.97,0.0,0.56239859998459
159,p,IU,1.03,1.0,1.5193420000141489
160,p,UU,1.15,1.0,0.4696049999911338
161,p,UU,1.03,1.0,0.4545925999991596
162,p,UI,0.94,0.0,0.5616231999883894
163,p,UI,0.85,0.0,0.4946225000021513
164,p,II,0.85,0.0,0.8017651000118349
165,p,IU,1.0,1.0,0.5363949000020511
166,p,IU,1.06,1.0,0.5472600999928545
167,p,UU,0.97,0.0,0.5382046999875456
168,p,UI,1.06,1.0,0.6294226000027265
169,p,UU,1.06,1.0,0.6521135999937542
170,p,II,1.0,1.0,0.7410571999789681
171,p,IU,1.06,1.0,0.7496383000107016
172,p,II,1.0,0.0,1.350531600008253
173,p,II,1.03,1.0,0.8452335000038147
174,p,IU,0.94,0.0,0.5838541999983136
175,p,IU,1.15,1.0,0.5984943000075873
176,p,UI,0.85,0.0,0.6136080999858677
177,p,II,1.15,1.0,0.4806447000009939
