,sub,cond,x,y,rt
17,q,UI,0.94,0.0,0.7277767000196036
18,q,IU,1.03,0.0,0.6127053999807686
19,q,UU,1.06,0.0,0.8916362999880221
20,q,UU,1.0,1.0,0.6482672000129241
21,q,UU,0.85,0.0,0.6191119000141043
22,q,UI,1.03,1.0,0.9501319999981206
23,q,II,1.03,1.0,0.8446700000204146
24,q,IU,1.0,0.0,1.361315400019521
25,q,IU,0.97,1.0,1.079881399986334
26,q,UI,1.0,1.0,1.170489300013287
27,q,UI,1.06,1.0,0.9570117000257596
28,q,II,1.15,1.0,0.969503700005589
29,q,UI,0.85,0.0,0.9823313999804668
30,q,IU,1.03,1.0,0.9590545000100974
31,q,UU,0.94,0.0,1.1636509999807458
32,q,II,1.15,1.0,0.8380758999846876
33,q,UU,0.85,0.0,0.7407788999844342
34,q,UI,1.15,1.0,0.7757738000073005
35,q,UU,1.0,1.0,0.9363642999960576
36,q,IU,0.85,0.0,0.7711969999945723
37,q,UU,0.97,1.0,0.808062099997187
38,q,II,1.0,0.0,0.8268090999918059
39,q,UU,0.97,1.0,0.8254923000058625
40,q,IU,1.06,1.0,0.7602583999978378
41,q,II,1.0,1.0,0.9190491999906952
42,q,UI,0.85,0.0,0.7956686999823432
43,q,II,1.06,1.0,0.9464707000006456
44,q,UU,1.03,1.0,0.6970940999744926
45,q,UI,0.97,1.0,0.9800150999799372
46,q,UI,0.94,0.0,0.8927574999979697
47,q,UI,0.97,1.0,1.2534099000040442
48,q,II,0.94,0.0,1.0397110999911092
49,q,IU,1.06,1.0,0.9984732000157236
50,q,UI,1.03,1.0,0.98740819998784
51,q,IU,0.85,0.0,0.7937216999998782
52,q,IU,0.94,0.0,0.832573699997738
53,q,UU,1.15,1.0,0.8213176999997813
54,q,UI,1.15,1.0,1.7739422000013292
55,q,UU,1.06,1.0,1.3180289999872912
56,q,II,1.06,1.0,1.0767481999937445
57,q,II,0.97,0.0,0.953069699986372
58,q,IU,1.15,1.0,0.7736933999985922
59,q,UU,1.15,1.0,0.7525803000025917
60,q,IU,1.15,1.0,0.6934562999813352
61,q,II,0.94,0.0,0.7963019000017084
62,q,UI,1.06,1.0,0.6330632999888621
63,q,IU,0.94,0.0,0.7838724999746773
64,q,IU,0.97,0.0,0.976787699997658
65,q,IU,1.0,0.0,0.7833998999849427
66,q,II,1.03,1.0,0.9660417000122834
67,q,II,0.97,0.0,0.75464679999277
68,q,II,0.85,0.0,0.8015809000062291
69,q,UU,0.94,0.0,0.8623589999915566
70,q,UU,1.03,1.0,0.8629429000138771
71,q,UI,1.0,1.0,0.9756994000053963
72,q,II,0.85,0.0,0.8184457000170369
73,q,IU,1.15,1.0,0.7473876999865752
74,q,UI,1.03,1.0,0.6658222999831196
75,q,UU,0.85,0.0,0.6587602999934461
76,q,II,1.15,1.0,0.7256583000125829
77,q,IU,1.03,0.0,0.9467062000185252
78,q,UI,1.06,1.0,0.7933119000226725
79,q,IU,0.85,0.0,0.742048199987039
80,q,IU,0.85,0.0,0.5850206000031903
81,q,UI,1.03,1.0,0.6957218000025023
82,q,II,0.97,0.0,1.890420500014443
83,q,UU,0.97,1.0,0.742593399976613
84,q,UU,1.06,1.0,1.2635084000066854
85,q,IU,0.97,0.0,0.9818480999965686
86,q,IU,0.97,0.0,1.21452280000085
87,q,UI,1.15,1.0,0.6571464000153355
88,q,II,1.03,1.0,0.5698705000104383
89,q,IU,1.15,1.0,0.5408032999839634
90,q,IU,1.03,0.0,0.5737839000066742
91,q,IU,1.0,0.0,0.7208032000053208
92,q,UU,1.06,1.0,0.7753920000104699
93,q,UI,0.97,0.0,0.8821346999902744
94,q,UU,0.94,0.0,0.8308333000168204
95,q,II,1.15,1.0,0.6157179000147153
96,q,UU,0.97,1.0,0.6908588999940548
97,q,II,1.06,1.0,0.6056855000206269
98,q,II,1.0,1.0,0.7604060000157915
99,q,IU,1.06,0.0,1.533175199991092
100,q,IU,0.94,0.0,0.751530699984869
101,q,II,0.85,0.0,0.5263526999915484
102,q,IU,1.06,1.0,0.7933039999916218
103,q,UU,1.0,1.0,0.8379569000098854
104,q,UI,0.94,1.0,1.0287987999909092
105,q,UI,1.0,1.0,0.6774221000086982
106,q,UI,0.97,1.0,1.0181720000109635
107,q,UI,0.94,0.0,0.8689103000215255
108,q,II,0.94,0.0,0.7256932000163943
109,q,UU,1.15,1.0,0.6223384999902919
110,q,II,1.0,1.0,0.591342400002759
111,q,II,1.03,0.0,1.0381600999971852
112,q,UI,1.0,1.0,1.0288697000069078
113,q,UI,1.06,1.0,1.0356334999960382
114,q,IU,0.94,0.0,0.9359343000105582
115,q,UU,1.03,1.0,0.8508696999924723
116,q,II,0.85,0.0,0.7435725000104867
117,q,UU,1.0,1.0,0.6682951000111643
118,q,UU,1.03,0.0,0.6931116000050679
119,q,UU,0.94,0.0,0.8379242999944836
120,q,II,0.97,0.0,0.5328432000242174
121,q,II,1.06,1.0,0.6456100000068545
122,q,UU,0.85,0.0,0.5625891999807209
123,q,UI,1.15,1.0,0.5815106999943964
124,q,UI,0.85,0.0,0.6063807999889832
125,q,II,0.94,0.0,0.5953956000157632
126,q,UI,0.85,0.0,0.5040663999971002
127,q,IU,1.0,0.0,0.8171064000052866
128,q,UU,1.15,1.0,0.5478582000068855
130,q,UI,1.06,1.0,0.7440168999892194
131,q,UU,1.0,0.0,1.0567721000115853
132,q,UU,0.97,0.0,0.6913845000090078
133,q,II,0.94,0.0,0.6542505999968853
134,q,II,1.15,1.0,0.6569089999829885
135,q,II,0.97,0.0,0.6278810000221711
136,q,UU,0.94,0.0,0.6289327000267804
137,q,IU,0.85,0.0,0.5877528999990318
138,q,UU,0.94,0.0,0.650704899977427
139,q,II,1.06,1.0,0.5416065000172239
140,q,UI,1.0,1.0,0.6326009999902453
141,q,II,0.94,0.0,0.6193834999867249
142,q,UI,0.97,1.0,0.7262195000075735
