ori_st,ori_pr,xpos_st,xpos_pr,size,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,wel_pra.started,wel_pra.stopped,resp_wel.keys,resp_wel.rt,resp_wel.started,resp_wel.stopped,standard_pra.started,standard_pra.stopped,prove_pra.started,prove_pra.stopped,fixation.started,fixation.stopped,resp_pra.keys,resp_pra.rt,resp_pra.started,resp_pra.stopped,instr.started,instr.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,standard.started,standard.stopped,probe.started,probe.stopped,text.started,text.stopped,resp.keys,resp.rt,resp.started,resp.stopped,text_2.started,text_2.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,60.681485699955374,None,space,277.9009389000712,60.681485699955374,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,a,001,2021_Jun_30_1635,toilet,2021.1.3,99.87755014456572,
180,0,-4,4,1.15,0,0,0,15,,,,,,,,,,,,,,,339.61975369998254,None,339.61975369998254,None,339.11944349994883,None,j,3.37871570000425,339.61975369998254,None,,,,,,,,,,,,,,,,,,,,,,,a,001,2021_Jun_30_1635,toilet,2021.1.3,99.87755014456572,
0,0,4,-4,0.85,0,1,1,1,,,,,,,,,,,,,,,344.02265929989517,None,344.02265929989517,None,343.5223230998963,None,j,1.119552499963902,344.02265929989517,None,,,,,,,,,,,,,,,,,,,,,,,a,001,2021_Jun_30_1635,toilet,2021.1.3,99.87755014456572,
180,180,-4,4,1.15,0,2,2,10,,,,,,,,,,,,,,,346.14413599995896,None,346.14413599995896,None,345.64383179997094,None,j,1.4941415999783203,346.14413599995896,None,,,,,,,,,,,,,,,,,,,,,,,a,001,2021_Jun_30_1635,toilet,2021.1.3,99.87755014456572,
180,180,-4,4,0.85,0,3,3,8,,,,,,,,,,,,,,,348.64579139999114,None,348.64579139999114,None,348.1454514999641,None,f,2.176599200000055,348.64579139999114,None,,,,,,,,,,,,,,,,,,,,,,,a,001,2021_Jun_30_1635,toilet,2021.1.3,99.87755014456572,
0,180,-4,4,1.15,0,4,4,6,,,,,,,,,,,,,,,351.8479594999226,None,351.8479594999226,None,351.34762579994276,None,j,1.7744683999335393,351.8479594999226,None,,,,,,,,,,,,,,,,,,,,,,,a,001,2021_Jun_30_1635,toilet,2021.1.3,99.87755014456572,
180,180,-4,4,0.85,0,5,5,9,,,,,,,,,,,,,,,354.629933899967,None,354.629933899967,None,354.12955089996103,None,f,0.7362749999156222,354.629933899967,None,,,,,,,,,,,,,,,,,,,,,,,a,001,2021_Jun_30_1635,toilet,2021.1.3,99.87755014456572,
180,0,-4,4,0.85,0,6,6,12,,,,,,,,,,,,,,,356.37102969991975,None,356.37102969991975,None,355.8706866999855,None,f,0.8831511000171304,356.37102969991975,None,,,,,,,,,,,,,,,,,,,,,,,a,001,2021_Jun_30_1635,toilet,2021.1.3,99.87755014456572,
0,180,4,-4,1.15,0,7,7,7,,,,,,,,,,,,,,,358.26231109991204,None,358.26231109991204,None,357.7619698999915,None,f,71.99991280003451,358.26231109991204,None,,,,,,,,,,,,,,,,,,,,,,,a,001,2021_Jun_30_1635,toilet,2021.1.3,99.87755014456572,
180,0,-4,4,0.85,0,8,8,13,,,,,,,,,,,,,,,431.26176619995385,None,431.26176619995385,None,430.76144559995737,None,f,0.6325647999765351,431.26176619995385,None,,,,,,,,,,,,,,,,,,,,,,,a,001,2021_Jun_30_1635,toilet,2021.1.3,99.87755014456572,
