ori_st,ori_pr,xpos_st,xpos_pr,size,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,wel_pra.started,wel_pra.stopped,resp_wel.keys,resp_wel.rt,resp_wel.started,resp_wel.stopped,standard_pra.started,standard_pra.stopped,prove_pra.started,prove_pra.stopped,fixation.started,fixation.stopped,resp_pra.keys,resp_pra.rt,resp_pra.started,resp_pra.stopped,instr.started,instr.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,standard.started,standard.stopped,probe.started,probe.stopped,text.started,text.stopped,resp.keys,resp.rt,resp.started,resp.stopped,text_2.started,text_2.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,28.037334499997087,None,space,140.22687470004894,28.037334499997087,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,d,001,2021_Jul_01_1855,toilet,2021.1.3,99.8907195579627,
180,0,-4,4,1.15,0,0,0,14,,,,,,,,,,,,,,,169.29230840003584,None,169.29230840003584,None,168.79196379997302,None,j,8.747874699998647,169.29230840003584,None,,,,,,,,,,,,,,,,,,,,,,,d,001,2021_Jul_01_1855,toilet,2021.1.3,99.8907195579627,
180,180,-4,4,0.85,0,1,1,9,,,,,,,,,,,,,,,179.0589270000346,None,179.0589270000346,None,178.55858069995884,None,f,1.1092103000264615,179.0589270000346,None,,,,,,,,,,,,,,,,,,,,,,,d,001,2021_Jul_01_1855,toilet,2021.1.3,99.8907195579627,
0,0,-4,4,0.85,0,2,2,0,,,,,,,,,,,,,,,181.18035409995355,None,181.18035409995355,None,180.68011139996815,None,f,0.7797186999814585,181.18035409995355,None,,,,,,,,,,,,,,,,,,,,,,,d,001,2021_Jul_01_1855,toilet,2021.1.3,99.8907195579627,
180,180,-4,4,0.85,0,3,3,8,,,,,,,,,,,,,,,182.96157639997546,None,182.96157639997546,None,182.46125819999725,None,f,0.6305175999877974,182.96157639997546,None,,,,,,,,,,,,,,,,,,,,,,,d,001,2021_Jul_01_1855,toilet,2021.1.3,99.8907195579627,
180,0,-4,4,0.85,0,4,4,13,,,,,,,,,,,,,,,184.59267000004184,None,184.59267000004184,None,184.09232950001024,None,f,0.5513294000411406,184.59267000004184,None,,,,,,,,,,,,,,,,,,,,,,,d,001,2021_Jul_01_1855,toilet,2021.1.3,99.8907195579627,
0,180,-4,4,0.85,0,5,5,4,,,,,,,,,,,,,,,186.1437265999848,None,186.1437265999848,None,185.64337469998281,None,f,0.7604642999358475,186.1437265999848,None,,,,,,,,,,,,,,,,,,,,,,,d,001,2021_Jul_01_1855,toilet,2021.1.3,99.8907195579627,
180,180,-4,4,1.15,0,6,6,11,,,,,,,,,,,,,,,187.91493420000188,None,187.91493420000188,None,187.41458129999228,None,j,0.4451285001123324,187.91493420000188,None,,,,,,,,,,,,,,,,,,,,,,,d,001,2021_Jul_01_1855,toilet,2021.1.3,99.8907195579627,
0,0,-4,4,1.15,0,7,7,2,,,,,,,,,,,,,,,189.36597529996652,None,189.36597529996652,None,188.86564980004914,None,j,0.41815510008018464,189.36597529996652,None,,,,,,,,,,,,,,,,,,,,,,,d,001,2021_Jul_01_1855,toilet,2021.1.3,99.8907195579627,
0,180,-4,4,1.15,0,8,8,6,,,,,,,,,,,,,,,190.79686350002885,None,190.79686350002885,None,190.29654759995174,None,j,0.36324239999521524,190.79686350002885,None,,,,,,,,,,,,,,,,,,,,,,,d,001,2021_Jul_01_1855,toilet,2021.1.3,99.8907195579627,
