ori_st,ori_pr,xpos_st,xpos_pr,size,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,wel_pra.started,wel_pra.stopped,resp_wel.keys,resp_wel.rt,resp_wel.started,resp_wel.stopped,standard_pra.started,standard_pra.stopped,prove_pra.started,prove_pra.stopped,fixation.started,fixation.stopped,resp_pra.keys,resp_pra.rt,resp_pra.started,resp_pra.stopped,instr.started,instr.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,standard.started,standard.stopped,probe.started,probe.stopped,text.started,text.stopped,resp.keys,resp.rt,resp.started,resp.stopped,text_2.started,text_2.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,text_3.started,text_3.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.started,key_resp_3.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,46.67564439999842,None,space,76.5482591,46.67564439999842,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,k,001,2021_Jul_06_1616,toilet,2021.1.3,99.92974938530296,
0,0,-4,4,1.15,0,0,0,2,,,,,,,,,,,,,,,124.24910649999947,None,124.24910649999947,None,123.74874379999892,None,j,1.678754200000185,124.24910649999947,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,k,001,2021_Jul_06_1616,toilet,2021.1.3,99.92974938530296,
0,180,-4,4,0.85,0,1,1,4,,,,,,,,,,,,,,,126.93099219999931,None,126.93099219999931,None,126.43065639999986,None,f,0.7730119000007107,126.93099219999931,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,k,001,2021_Jul_06_1616,toilet,2021.1.3,99.92974938530296,
180,180,-4,4,1.15,0,2,2,10,,,,,,,,,,,,,,,128.71210539999993,None,128.71210539999993,None,128.2118021999995,None,j,0.4957494999998744,128.71210539999993,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,k,001,2021_Jul_06_1616,toilet,2021.1.3,99.92974938530296,
180,0,-4,4,1.15,0,3,3,14,,,,,,,,,,,,,,,130.21312599999874,None,130.21312599999874,None,129.71279149999827,None,j,0.5148962999992364,130.21312599999874,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,k,001,2021_Jul_06_1616,toilet,2021.1.3,99.92974938530296,
180,180,-4,4,0.85,0,4,4,8,,,,,,,,,,,,,,,131.74416889999884,None,131.74416889999884,None,131.243835199999,None,f,0.4558595999988029,131.74416889999884,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,k,001,2021_Jul_06_1616,toilet,2021.1.3,99.92974938530296,
180,0,-4,4,0.85,0,5,5,13,,,,,,,,,,,,,,,133.21517459999995,None,133.21517459999995,None,132.71482399999877,None,f,0.45684849999997823,133.21517459999995,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,k,001,2021_Jul_06_1616,toilet,2021.1.3,99.92974938530296,
0,180,4,-4,1.15,0,6,6,7,,,,,,,,,,,,,,,134.68623619999926,None,134.68623619999926,None,134.1858149999989,None,f,0.6338130999993155,134.68623619999926,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,k,001,2021_Jul_06_1616,toilet,2021.1.3,99.92974938530296,
0,0,-4,4,0.85,0,7,7,0,,,,,,,,,,,,,,,136.3372786,None,136.3372786,None,135.8369120999996,None,f,0.502683499998966,136.3372786,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,k,001,2021_Jul_06_1616,toilet,2021.1.3,99.92974938530296,
0,180,-4,4,1.15,0,8,8,6,,,,,,,,,,,,,,,137.84830619999957,None,137.84830619999957,None,137.34796079999978,None,j,0.3996110999996745,137.84830619999957,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,k,001,2021_Jul_06_1616,toilet,2021.1.3,99.92974938530296,
0,0,4,-4,1.15,0,9,9,3,,,,,,,,,,,,,,,139.24924959999953,None,139.24924959999953,None,138.7489119999991,None,f,0.4227186999996775,139.24924959999953,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,k,001,2021_Jul_06_1616,toilet,2021.1.3,99.92974938530296,
180,0,-4,4,0.85,0,10,10,12,,,,,,,,,,,,,,,140.6902328999986,None,140.6902328999986,None,140.18989269999838,None,f,0.469719199998508,140.6902328999986,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,k,001,2021_Jul_06_1616,toilet,2021.1.3,99.92974938530296,
0,0,4,-4,0.85,0,11,11,1,,,,,,,,,,,,,,,142.17132239999955,None,142.17132239999955,None,141.67096179999862,None,j,0.3966047999983857,142.17132239999955,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,k,001,2021_Jul_06_1616,toilet,2021.1.3,99.92974938530296,
180,180,-4,4,1.15,0,12,12,11,,,,,,,,,,,,,,,143.58218509999824,None,143.58218509999824,None,143.08185349999985,None,j,0.4418485000005603,143.58218509999824,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,k,001,2021_Jul_06_1616,toilet,2021.1.3,99.92974938530296,
