ori_st,ori_pr,xpos_st,xpos_pr,size,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,wel_pra.started,wel_pra.stopped,resp_wel.keys,resp_wel.rt,resp_wel.started,resp_wel.stopped,standard_pra.started,standard_pra.stopped,prove_pra.started,prove_pra.stopped,fixation.started,fixation.stopped,resp_pra.keys,resp_pra.rt,resp_pra.started,resp_pra.stopped,instr.started,instr.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,standard.started,standard.stopped,probe.started,probe.stopped,text.started,text.stopped,resp.keys,resp.rt,resp.started,resp.stopped,text_2.started,text_2.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,text_3.started,text_3.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.started,key_resp_3.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,12.229053300005035,None,space,246.53166940000665,12.229053300005035,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,m,001,2021_Jul_07_1709,toilet,2021.1.3,99.80796946564436,
180,0,-4,4,0.85,0,0,0,12,,,,,,,,,,,,,,,259.80079439999827,None,259.80079439999827,None,259.3004496000067,None,f,1.8396274999977322,259.80079439999827,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,m,001,2021_Jul_07_1709,toilet,2021.1.3,99.80796946564436,
180,0,-4,4,1.15,0,1,1,14,,,,,,,,,,,,,,,262.65276290000475,None,262.65276290000475,None,262.15242870000657,None,j,1.083733099992969,262.65276290000475,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,m,001,2021_Jul_07_1709,toilet,2021.1.3,99.80796946564436,
180,180,-4,4,1.15,0,2,2,10,,,,,,,,,,,,,,,264.74414570000954,None,264.74414570000954,None,264.24380660000315,None,j,0.8802085000061197,264.74414570000954,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,m,001,2021_Jul_07_1709,toilet,2021.1.3,99.80796946564436,
0,180,-4,4,0.85,0,3,3,4,,,,,,,,,,,,,,,266.62542350000876,None,266.62542350000876,None,266.12509420000424,None,f,1.6549469000019599,266.62542350000876,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,m,001,2021_Jul_07_1709,toilet,2021.1.3,99.80796946564436,
180,0,-4,4,0.85,0,4,4,13,,,,,,,,,,,,,,,269.28731980000157,None,269.28731980000157,None,268.7869756,None,f,0.4651072999986354,269.28731980000157,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,m,001,2021_Jul_07_1709,toilet,2021.1.3,99.80796946564436,
0,0,-4,4,0.85,0,5,5,0,,,,,,,,,,,,,,,270.75822869999683,None,270.75822869999683,None,270.2578887999989,None,f,0.5141370000055758,270.75822869999683,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,m,001,2021_Jul_07_1709,toilet,2021.1.3,99.80796946564436,
0,180,-4,4,1.15,0,6,6,6,,,,,,,,,,,,,,,272.2792563999974,None,272.2792563999974,None,271.7789196000085,None,j,0.7531635000050301,272.2792563999974,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,m,001,2021_Jul_07_1709,toilet,2021.1.3,99.80796946564436,
0,0,4,-4,1.15,0,7,7,3,,,,,,,,,,,,,,,274.05045779999637,None,274.05045779999637,None,273.55012450000504,None,f,1.1579682000010507,274.05045779999637,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,m,001,2021_Jul_07_1709,toilet,2021.1.3,99.80796946564436,
0,180,4,-4,0.85,0,8,8,5,,,,,,,,,,,,,,,276.212010999996,None,276.212010999996,None,275.71166939999966,None,j,0.8204038000112632,276.212010999996,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,m,001,2021_Jul_07_1709,toilet,2021.1.3,99.80796946564436,
0,180,4,-4,1.15,0,9,9,7,,,,,,,,,,,,,,,278.04317170000286,None,278.04317170000286,None,277.5428275000013,None,f,0.637182299993583,278.04317170000286,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,m,001,2021_Jul_07_1709,toilet,2021.1.3,99.80796946564436,
180,0,-4,4,1.15,0,10,10,15,,,,,,,,,,,,,,,279.6842814999982,None,279.6842814999982,None,279.18395010000677,None,j,0.5643143000052078,279.6842814999982,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,m,001,2021_Jul_07_1709,toilet,2021.1.3,99.80796946564436,
0,0,-4,4,1.15,0,11,11,2,,,,,,,,,,,,,,,281.27536359999795,None,281.27536359999795,None,280.77502270000696,None,j,0.5732016999972984,281.27536359999795,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,m,001,2021_Jul_07_1709,toilet,2021.1.3,99.80796946564436,
0,0,4,-4,0.85,0,12,12,1,,,,,,,,,,,,,,,282.8664368000027,None,282.8664368000027,None,282.36609700000554,None,j,0.4541402999893762,282.8664368000027,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,m,001,2021_Jul_07_1709,toilet,2021.1.3,99.80796946564436,
180,180,-4,4,0.85,0,13,13,9,,,,,,,,,,,,,,,284.33751690000645,None,284.33751690000645,None,283.8370991999982,None,f,0.5029847999976482,284.33751690000645,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,m,001,2021_Jul_07_1709,toilet,2021.1.3,99.80796946564436,
180,180,-4,4,1.15,0,14,14,11,,,,,,,,,,,,,,,285.84845970000606,None,285.84845970000606,None,285.35812879999867,None,j,0.5598884000064572,285.84845970000606,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,m,001,2021_Jul_07_1709,toilet,2021.1.3,99.80796946564436,
180,180,-4,4,0.85,0,15,15,8,,,,,,,,,,,,,,,287.409519599998,None,287.409519599998,None,286.9091861000052,None,f,0.518878400005633,287.409519599998,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,m,001,2021_Jul_07_1709,toilet,2021.1.3,99.80796946564436,
0,0,4,-4,1.03,,,,,0,0,0,0,0,0,0,11,,,,,,,,,,,,,,,,,287.9398857000051,None,space,78.6764445000008,287.9398857000051,None,367.6339248000004,None,367.6339248000004,None,367.1335822999972,None,f,0.9824771999992663,367.6339248000004,None,,,,,,,,,,,,,m,001,2021_Jul_07_1709,toilet,2021.1.3,99.80796946564436,
0,180,-4,4,1.0,,,,,0,0,0,0,0,1,1,17,,,,,,,,,,,,,,,,,,,,,,,369.62527790000604,None,369.62527790000604,None,369.12493160000304,None,j,1.9990999000001466,369.62527790000604,None,,,,,,,,,,,,,m,001,2021_Jul_07_1709,toilet,2021.1.3,99.80796946564436,
180,0,-4,4,0.94,,,,,0,0,0,0,0,2,2,43,,,,,,,,,,,,,,,,,,,,,,,372.62738140000147,None,372.62738140000147,None,372.1269731000066,None,f,0.708905199993751,372.62738140000147,None,,,,,,,,,,,,,m,001,2021_Jul_07_1709,toilet,2021.1.3,99.80796946564436,
180,0,4,-4,0.94,,,,,0,0,0,0,0,3,3,50,,,,,,,,,,,,,,,,,,,,,,,374.33849320000445,None,374.33849320000445,None,373.8381309999968,None,j,0.485810300000594,374.33849320000445,None,,,,,,,,,,,,,m,001,2021_Jul_07_1709,toilet,2021.1.3,99.80796946564436,
180,0,4,-4,1.0,,,,,0,0,0,0,0,4,4,52,,,,,,,,,,,,,,,,,,,,,,,375.8294986999972,None,375.8294986999972,None,375.32914050000545,None,j,1.6508824000047753,375.8294986999972,None,,,,,,,,,,,,,m,001,2021_Jul_07_1709,toilet,2021.1.3,99.80796946564436,
180,180,-4,4,1.15,,,,,0,0,0,0,0,5,5,34,,,,,,,,,,,,,,,,,,,,,,,378.4912871999986,None,378.4912871999986,None,377.9909469999984,None,j,0.6210851000068942,378.4912871999986,None,,,,,,,,,,,,,m,001,2021_Jul_07_1709,toilet,2021.1.3,99.80796946564436,
180,180,4,-4,1.0,,,,,0,0,0,0,0,6,6,38,,,,,,,,,,,,,,,,,,,,,,,380.12248390000605,None,380.12248390000605,None,379.62205130000075,None,j,4.845985899999505,380.12248390000605,None,,,,,,,,,,,,,m,001,2021_Jul_07_1709,toilet,2021.1.3,99.80796946564436,
180,180,-4,4,0.85,,,,,0,0,0,0,0,7,7,28,,,,,,,,,,,,,,,,,,,,,,,385.9963695000042,None,385.9963695000042,None,385.496037799996,None,f,2.699945899992599,385.9963695000042,None,,,,,,,,,,,,,m,001,2021_Jul_07_1709,toilet,2021.1.3,99.80796946564436,
0,0,-4,4,0.85,,,,,0,0,0,0,0,8,8,0,,,,,,,,,,,,,,,,,,,,,,,389.6988807000016,None,389.6988807000016,None,389.1985463000019,None,f,0.5814990999933798,389.6988807000016,None,,,,,,,,,,,,,m,001,2021_Jul_07_1709,toilet,2021.1.3,99.80796946564436,
180,180,4,-4,0.85,,,,,0,0,0,0,0,9,9,35,,,,,,,,,,,,,,,,,,,,,,,391.2799531000055,None,391.2799531000055,None,390.7796157999983,None,j,1.1923905000003288,391.2799531000055,None,,,,,,,,,,,,,m,001,2021_Jul_07_1709,toilet,2021.1.3,99.80796946564436,
