ori_st,ori_pr,xpos_st,xpos_pr,size,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,wel_pra.started,wel_pra.stopped,resp_wel.keys,resp_wel.rt,resp_wel.started,resp_wel.stopped,standard_pra.started,standard_pra.stopped,prove_pra.started,prove_pra.stopped,fixation.started,fixation.stopped,resp_pra.keys,resp_pra.rt,resp_pra.started,resp_pra.stopped,instr.started,instr.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,standard.started,standard.stopped,probe.started,probe.stopped,text.started,text.stopped,resp.keys,resp.rt,resp.started,resp.stopped,text_2.started,text_2.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,31.791138800006593,None,space,103.10356469999533,31.791138800006593,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,o,001,2021_Jul_08_1436,toilet,2021.1.3,99.90459111008592,
180,0,-4,4,1.15,0,0,0,15,,,,,,,,,,,,,,,135.91622119999374,None,135.91622119999374,None,135.41588270000648,None,j,1.810347599996021,135.91622119999374,None,,,,,,,,,,,,,,,,,,,,,,,o,001,2021_Jul_08_1436,toilet,2021.1.3,99.90459111008592,
180,180,-4,4,1.15,0,1,1,11,,,,,,,,,,,,,,,138.73813929999596,None,138.73813929999596,None,138.2378017999872,None,j,0.6845779000141192,138.73813929999596,None,,,,,,,,,,,,,,,,,,,,,,,o,001,2021_Jul_08_1436,toilet,2021.1.3,99.90459111008592,
180,180,-4,4,1.15,0,2,2,10,,,,,,,,,,,,,,,140.43929079998634,None,140.43929079998634,None,139.93903589999536,None,j,0.40724559998488985,140.43929079998634,None,,,,,,,,,,,,,,,,,,,,,,,o,001,2021_Jul_08_1436,toilet,2021.1.3,99.90459111008592,
180,0,-4,4,1.15,0,3,3,14,,,,,,,,,,,,,,,141.8502526000084,None,141.8502526000084,None,141.34999449999304,None,j,0.6603532999870367,141.8502526000084,None,,,,,,,,,,,,,,,,,,,,,,,o,001,2021_Jul_08_1436,toilet,2021.1.3,99.90459111008592,
180,180,-4,4,0.85,0,4,4,8,,,,,,,,,,,,,,,143.5113798000093,None,143.5113798000093,None,143.01103729999159,None,f,0.4071494000090752,143.5113798000093,None,,,,,,,,,,,,,,,,,,,,,,,o,001,2021_Jul_08_1436,toilet,2021.1.3,99.90459111008592,
0,180,-4,4,1.15,0,5,5,6,,,,,,,,,,,,,,,144.9223411999992,None,144.9223411999992,None,144.42199480001,None,j,0.37225350001244806,144.9223411999992,None,,,,,,,,,,,,,,,,,,,,,,,o,001,2021_Jul_08_1436,toilet,2021.1.3,99.90459111008592,
0,180,4,-4,0.85,0,6,6,5,,,,,,,,,,,,,,,146.30326879999484,None,146.30326879999484,None,145.80293239999446,None,j,0.3835884000000078,146.30326879999484,None,,,,,,,,,,,,,,,,,,,,,,,o,001,2021_Jul_08_1436,toilet,2021.1.3,99.90459111008592,
0,180,-4,4,0.85,0,7,7,4,,,,,,,,,,,,,,,147.71429740000167,None,147.71429740000167,None,147.21389439998893,None,f,0.38030470002559014,147.71429740000167,None,,,,,,,,,,,,,,,,,,,,,,,o,001,2021_Jul_08_1436,toilet,2021.1.3,99.90459111008592,
180,180,-4,4,0.85,0,8,8,9,,,,,,,,,,,,,,,149.10524539998733,None,149.10524539998733,None,148.60491080000065,None,f,0.38128790000337176,149.10524539998733,None,,,,,,,,,,,,,,,,,,,,,,,o,001,2021_Jul_08_1436,toilet,2021.1.3,99.90459111008592,
0,0,-4,4,1.15,0,9,9,2,,,,,,,,,,,,,,,150.48611349999555,None,150.48611349999555,None,149.98577969998587,None,j,0.37642090002191253,150.48611349999555,None,,,,,,,,,,,,,,,,,,,,,,,o,001,2021_Jul_08_1436,toilet,2021.1.3,99.90459111008592,
180,0,-4,4,0.85,0,10,10,13,,,,,,,,,,,,,,,151.8670565999928,None,151.8670565999928,None,151.3667126999935,None,f,0.3076596000173595,151.8670565999928,None,,,,,,,,,,,,,,,,,,,,,,,o,001,2021_Jul_08_1436,toilet,2021.1.3,99.90459111008592,
180,0,-4,4,0.85,0,11,11,12,,,,,,,,,,,,,,,153.18794020000496,None,153.18794020000496,None,152.6876016999886,None,f,0.3626611999934539,153.18794020000496,None,,,,,,,,,,,,,,,,,,,,,,,o,001,2021_Jul_08_1436,toilet,2021.1.3,99.90459111008592,
0,0,4,-4,1.15,0,12,12,3,,,,,,,,,,,,,,,154.55894919999992,None,154.55894919999992,None,154.05853869998828,None,f,0.639710700022988,154.55894919999992,None,,,,,,,,,,,,,,,,,,,,,,,o,001,2021_Jul_08_1436,toilet,2021.1.3,99.90459111008592,
0,180,4,-4,1.15,0,13,13,7,,,,,,,,,,,,,,,156.21003059999202,None,156.21003059999202,None,155.70974120000028,None,f,0.36452730000019073,156.21003059999202,None,,,,,,,,,,,,,,,,,,,,,,,o,001,2021_Jul_08_1436,toilet,2021.1.3,99.90459111008592,
0,0,-4,4,0.85,0,14,14,0,,,,,,,,,,,,,,,157.58091220000642,None,157.58091220000642,None,157.08058139999048,None,f,0.40172640001401305,157.58091220000642,None,,,,,,,,,,,,,,,,,,,,,,,o,001,2021_Jul_08_1436,toilet,2021.1.3,99.90459111008592,
0,0,4,-4,0.85,0,15,15,1,,,,,,,,,,,,,,,158.99187880000682,None,158.99187880000682,None,158.49155169998994,None,j,0.33481950001441874,158.99187880000682,None,,,,,,,,,,,,,,,,,,,,,,,o,001,2021_Jul_08_1436,toilet,2021.1.3,99.90459111008592,
180,0,4,-4,1.0,,,,,0,0,0,0,0,0,0,52,,,,,,,,,,,,,,,,,159.3521858000022,None,space,74.24657640000805,159.3521858000022,None,234.61317530000815,None,234.61317530000815,None,234.1128338999988,None,f,1.0334727999870665,234.61317530000815,None,,,,,,,o,001,2021_Jul_08_1436,toilet,2021.1.3,99.90459111008592,
180,0,4,-4,1.15,,,,,0,0,0,0,0,1,1,55,,,,,,,,,,,,,,,,,,,,,,,236.66457729999092,None,236.66457729999092,None,236.16430460000993,None,f,0.3740807000140194,236.66457729999092,None,,,,,,,o,001,2021_Jul_08_1436,toilet,2021.1.3,99.90459111008592,
0,0,4,-4,0.94,,,,,0,0,0,0,0,2,2,8,,,,,,,,,,,,,,,,,,,,,,,238.0555109999841,None,238.0555109999841,None,237.55517899998813,None,j,0.4069686000002548,238.0555109999841,None,,,,,,,o,001,2021_Jul_08_1436,toilet,2021.1.3,99.90459111008592,
0,180,-4,4,0.97,,,,,0,0,0,0,0,3,3,16,,,,,,,,,,,,,,,,,,,,,,,239.46646629998577,None,239.46646629998577,None,238.9661355999997,None,f,0.9801779999979772,239.46646629998577,None,,,,,,,o,001,2021_Jul_08_1436,toilet,2021.1.3,99.90459111008592,
180,0,-4,4,1.0,,,,,0,0,0,0,0,4,4,45,,,,,,,,,,,,,,,,,,,,,,,241.45781900000293,None,241.45781900000293,None,240.95747570000822,None,f,0.5727908000117168,241.45781900000293,None,,,,,,,o,001,2021_Jul_08_1436,toilet,2021.1.3,99.90459111008592,
180,180,4,-4,0.85,,,,,0,0,0,0,0,5,5,35,,,,,,,,,,,,,,,,,,,,,,,243.04889939998975,None,243.04889939998975,None,242.54859439999564,None,j,0.34164099997724406,243.04889939998975,None,,,,,,,o,001,2021_Jul_08_1436,toilet,2021.1.3,99.90459111008592,
180,180,-4,4,1.15,,,,,0,0,0,0,0,6,6,34,,,,,,,,,,,,,,,,,,,,,,,244.40986369998427,None,244.40986369998427,None,243.90956890000962,None,j,0.3247735999757424,244.40986369998427,None,,,,,,,o,001,2021_Jul_08_1436,toilet,2021.1.3,99.90459111008592,
180,180,4,-4,1.15,,,,,0,0,0,0,0,7,7,41,,,,,,,,,,,,,,,,,,,,,,,245.750733199995,None,245.750733199995,None,245.2503876000119,None,f,0.343840600020485,245.750733199995,None,,,,,,,o,001,2021_Jul_08_1436,toilet,2021.1.3,99.90459111008592,
0,0,4,-4,0.97,,,,,0,0,0,0,0,8,8,9,,,,,,,,,,,,,,,,,,,,,,,247.10165239998605,None,247.10165239998605,None,246.60133519998635,None,j,0.3369207999785431,247.10165239998605,None,,,,,,,o,001,2021_Jul_08_1436,toilet,2021.1.3,99.90459111008592,
180,0,4,-4,1.06,,,,,0,0,0,0,0,9,9,54,,,,,,,,,,,,,,,,,,,,,,,248.44255800000974,None,248.44255800000974,None,247.94221169999219,None,f,0.48402199998963624,248.44255800000974,None,,,,,,,o,001,2021_Jul_08_1436,toilet,2021.1.3,99.90459111008592,
180,0,-4,4,0.85,,,,,0,0,0,0,0,10,10,42,,,,,,,,,,,,,,,,,,,,,,,249.93356740000308,None,249.93356740000308,None,249.43323009999585,None,f,0.32103670001379214,249.93356740000308,None,,,,,,,o,001,2021_Jul_08_1436,toilet,2021.1.3,99.90459111008592,
180,0,4,-4,0.85,,,,,0,0,0,0,0,11,11,49,,,,,,,,,,,,,,,,,,,,,,,251.2645579999953,None,251.2645579999953,None,250.76421900000423,None,j,0.31808229998569004,251.2645579999953,None,,,,,,,o,001,2021_Jul_08_1436,toilet,2021.1.3,99.90459111008592,
180,180,-4,4,0.85,,,,,0,0,0,0,0,12,12,28,,,,,,,,,,,,,,,,,,,,,,,252.5853589999897,None,252.5853589999897,None,252.08504189999076,None,f,0.3251416999846697,252.5853589999897,None,,,,,,,o,001,2021_Jul_08_1436,toilet,2021.1.3,99.90459111008592,
0,180,-4,4,0.94,,,,,0,0,0,0,0,13,13,15,,,,,,,,,,,,,,,,,,,,,,,253.91626259998884,None,253.91626259998884,None,253.41590839999844,None,j,0.3382479999854695,253.91626259998884,None,,,,,,,o,001,2021_Jul_08_1436,toilet,2021.1.3,99.90459111008592,
0,0,-4,4,0.97,,,,,0,0,0,0,0,14,14,2,,,,,,,,,,,,,,,,,,,,,,,255.25717689999146,None,255.25717689999146,None,254.75683669999125,None,f,0.5174779000226408,255.25717689999146,None,,,,,,,o,001,2021_Jul_08_1436,toilet,2021.1.3,99.90459111008592,
0,180,-4,4,1.0,,,,,0,0,0,0,0,15,15,17,,,,,,,,,,,,,,,,,,,,,,,256.78821920001064,None,256.78821920001064,None,256.2878780000028,None,j,0.3623684000049252,256.78821920001064,None,,,,,,,o,001,2021_Jul_08_1436,toilet,2021.1.3,99.90459111008592,
180,180,-4,4,1.0,,,,,0,0,0,0,0,16,16,31,,,,,,,,,,,,,,,,,,,,,,,258.15921799998614,None,258.15921799998614,None,257.6588028999977,None,f,0.49524509999901056,258.15921799998614,None,,,,,,,o,001,2021_Jul_08_1436,toilet,2021.1.3,99.90459111008592,
180,180,4,-4,1.0,,,,,0,0,0,0,0,17,17,38,,,,,,,,,,,,,,,,,,,,,,,259.6601588999911,None,259.6601588999911,None,259.159914799995,None,f,0.4662948999903165,259.6601588999911,None,,,,,,,o,001,2021_Jul_08_1436,toilet,2021.1.3,99.90459111008592,
0,0,-4,4,1.03,,,,,0,0,0,0,0,18,18,4,,,,,,,,,,,,,,,,,,,,,,,261.13115450000623,None,261.13115450000623,None,260.6308152000129,None,j,0.3554749999893829,261.13115450000623,None,,,,,,,o,001,2021_Jul_08_1436,toilet,2021.1.3,99.90459111008592,
0,0,4,-4,1.06,,,,,0,0,0,0,0,19,19,12,,,,,,,,,,,,,,,,,,,,,,,262.49208590001217,None,262.49208590001217,None,261.9917489000072,None,f,0.3706528999900911,262.49208590001217,None,,,,,,,o,001,2021_Jul_08_1436,toilet,2021.1.3,99.90459111008592,
180,180,4,-4,1.06,,,,,0,0,0,0,0,20,20,40,,,,,,,,,,,,,,,,,,,,,,,263.8730205000029,None,263.8730205000029,None,263.37268010000116,None,f,0.3494854000164196,263.8730205000029,None,,,,,,,o,001,2021_Jul_08_1436,toilet,2021.1.3,99.90459111008592,
180,0,-4,4,0.97,,,,,0,0,0,0,0,21,21,44,,,,,,,,,,,,,,,,,,,,,,,265.2240218000079,None,265.2240218000079,None,264.72359939999296,None,f,0.9505525999993552,265.2240218000079,None,,,,,,,o,001,2021_Jul_08_1436,toilet,2021.1.3,99.90459111008592,
180,0,4,-4,0.94,,,,,0,0,0,0,0,22,22,50,,,,,,,,,,,,,,,,,,,,,,,267.18526289999136,None,267.18526289999136,None,266.68501009998727,None,j,0.3654812999884598,267.18526289999136,None,,,,,,,o,001,2021_Jul_08_1436,toilet,2021.1.3,99.90459111008592,
