ori_st,ori_pr,xpos_st,xpos_pr,size
0,0,-4,4,0.85
0,0,-4,4,0.94
0,0,-4,4,0.97
0,0,-4,4,1
0,0,-4,4,1.03
0,0,-4,4,1.06
0,0,-4,4,1.15
0,0,4,-4,0.85
0,0,4,-4,0.94
0,0,4,-4,0.97
0,0,4,-4,1
0,0,4,-4,1.03
0,0,4,-4,1.06
0,0,4,-4,1.15
0,180,-4,4,0.85
0,180,-4,4,0.94
0,180,-4,4,0.97
0,180,-4,4,1
0,180,-4,4,1.03
0,180,-4,4,1.06
0,180,-4,4,1.15
0,180,4,-4,0.85
0,180,4,-4,0.94
0,180,4,-4,0.97
0,180,4,-4,1
0,180,4,-4,1.03
0,180,4,-4,1.06
0,180,4,-4,1.15
180,180,-4,4,0.85
180,180,-4,4,0.94
180,180,-4,4,0.97
180,180,-4,4,1
180,180,-4,4,1.03
180,180,-4,4,1.06
180,180,-4,4,1.15
180,180,4,-4,0.85
180,180,4,-4,0.94
180,180,4,-4,0.97
180,180,4,-4,1
180,180,4,-4,1.03
180,180,4,-4,1.06
180,180,4,-4,1.15
180,0,-4,4,0.85
180,0,-4,4,0.94
180,0,-4,4,0.97
180,0,-4,4,1
180,0,-4,4,1.03
180,0,-4,4,1.06
180,0,-4,4,1.15
180,0,4,-4,0.85
180,0,4,-4,0.94
180,0,4,-4,0.97
180,0,4,-4,1
180,0,4,-4,1.03
180,0,4,-4,1.06
180,0,4,-4,1.15
