,sub,cond,x,y,rt
17,d,IU,1.03,0.0,0.5574814000865445
18,d,IU,0.97,0.0,0.5382303000660613
19,d,UI,0.94,0.0,1.0132277000229806
20,d,IU,0.85,0.0,0.4317657999927178
21,d,UI,1.03,1.0,0.44088680006098
22,d,II,1.06,1.0,0.4398346999660134
23,d,II,1.06,1.0,0.4550375000108033
24,d,IU,1.03,0.0,0.7278238999424502
25,d,IU,1.0,0.0,0.7408679999643937
26,d,UU,0.85,0.0,0.5516366999363527
27,d,UU,0.97,0.0,0.9105216000461952
28,d,UU,0.85,0.0,0.5512775999959558
29,d,UI,0.94,0.0,0.5741895999526605
30,d,UU,1.0,1.0,0.5774102000286803
31,d,IU,0.94,0.0,0.4901032999623567
32,d,II,1.15,1.0,0.4769926000153646
33,d,UI,1.03,1.0,0.5379008000018075
34,d,II,0.85,0.0,0.4748253000434488
35,d,II,1.15,1.0,0.4180468999547884
36,d,UU,0.94,0.0,0.5230367999756709
37,d,IU,1.15,1.0,0.4699360000668093
38,d,IU,0.94,0.0,0.4767560000764206
39,d,UI,1.06,1.0,0.4418074999703094
40,d,UI,0.85,0.0,0.4408352000173181
41,d,UU,0.94,0.0,0.4398621000582352
42,d,II,0.94,0.0,0.4549567999783903
43,d,II,0.97,0.0,0.6158315000357106
44,d,UU,1.06,1.0,0.4828085999470204
45,d,IU,1.06,1.0,1.9679512999719009
46,d,IU,1.06,1.0,0.6017055000411347
47,d,II,0.94,0.0,0.4727588000241667
48,d,UI,0.97,1.0,0.5596975999651477
49,d,UU,0.97,0.0,0.7427838000003248
50,d,UI,0.85,0.0,0.7255767000606284
51,d,II,1.0,0.0,3.912232300033793
52,d,UI,0.97,1.0,3.0691916999639943
53,d,UI,1.06,1.0,0.5061084000626579
54,d,IU,0.97,0.0,0.5314019999932498
55,d,UI,1.0,1.0,1.0542169000254944
56,d,II,1.03,1.0,1.088626699987799
57,d,II,0.97,0.0,0.8592539000092074
58,d,UU,1.0,0.0,0.5501663000322878
59,d,II,0.85,0.0,0.5731160000432283
60,d,UU,1.03,1.0,0.6939663999946788
61,d,UI,1.0,1.0,0.5986930000362918
62,d,UU,1.15,1.0,0.4856007000198588
63,d,II,1.0,1.0,0.5147287000436336
64,d,UU,1.15,1.0,0.6795183999929577
65,d,II,1.03,1.0,2.166279900004156
66,d,IU,1.0,0.0,1.778218200081028
67,d,UI,1.15,1.0,0.4684392000781372
68,d,UU,1.03,1.0,0.6613534999778494
69,d,UU,1.06,1.0,0.8142427999991924
70,d,UI,1.15,1.0,0.4649927000282332
71,d,IU,1.15,1.0,0.4821310999104753
72,d,IU,0.85,0.0,0.3949520000023767
73,d,UU,0.94,0.0,0.4979953999863937
74,d,IU,0.94,0.0,0.4909084999235347
75,d,UU,1.06,1.0,0.6641831001034006
76,d,UU,1.0,0.0,0.6788226999342442
77,d,II,1.03,1.0,0.997631200007163
78,d,IU,1.15,1.0,0.4742884000297636
79,d,UI,1.15,1.0,0.4493304999778047
80,d,IU,0.85,0.0,0.3744607999688014
81,d,UU,1.03,1.0,0.5194951000157744
82,d,II,0.97,0.0,0.5403644999023527
83,d,UU,0.97,0.0,0.4873474999330938
84,d,UI,1.06,1.0,0.436448400025256
85,d,II,0.94,0.0,0.4794873999198898
86,d,UI,0.97,1.0,1.3245373000390828
87,d,II,1.0,0.0,0.5028380999574438
88,d,IU,1.06,0.0,0.4796778000891208
89,d,IU,0.97,0.0,0.4868700000224635
90,d,II,0.85,0.0,0.4477324000326916
91,d,UU,1.15,1.0,0.426750999991782
92,d,II,0.85,0.0,0.5056807999499142
93,d,IU,1.03,1.0,0.6908309999853373
94,d,UI,0.94,0.0,0.9196519999532028
95,d,UU,0.85,0.0,0.4503529999637976
96,d,IU,1.06,0.0,0.6213234999449924
97,d,UI,1.0,1.0,0.696098200045526
98,d,II,1.15,1.0,0.5630863000405952
99,d,IU,1.0,0.0,0.4120010000187903
100,d,UU,0.94,0.0,0.468821500078775
101,d,UI,1.06,1.0,0.4537889000494033
102,d,UU,1.0,1.0,0.3851424000458792
103,d,UI,0.94,1.0,0.4181508999317884
104,d,UI,0.85,0.0,0.3951763000804931
105,d,IU,0.85,0.0,0.3441351000219583
106,d,UI,1.0,1.0,0.3693030000431463
107,d,UI,1.03,1.0,0.3802124999929219
108,d,UI,0.85,0.0,0.4394507999531925
109,d,II,0.97,0.0,0.4604110999498516
110,d,IU,0.97,0.0,0.381462899968028
111,d,II,1.15,1.0,0.4362061999272555
112,d,UI,1.03,1.0,0.4673523999517783
113,d,IU,1.03,0.0,0.420465899980627
114,d,IU,1.15,1.0,0.4714831999735906
115,d,UI,1.15,1.0,0.4144880999810993
116,d,II,1.03,1.0,0.4652995000360533
117,d,IU,1.0,0.0,0.7064330000430346
118,d,IU,0.94,0.0,0.4833211000077426
119,d,II,0.94,0.0,1.6162883000215515
120,d,II,1.06,1.0,0.4663865000475198
121,d,UU,1.03,1.0,0.5794534999877214
122,d,II,1.06,1.0,0.5664125999901444
123,d,UI,0.97,0.0,1.907383700017817
124,d,II,1.0,0.0,1.9712740000104527
125,d,UU,1.06,1.0,0.5513899000361562
126,d,UU,1.15,1.0,0.6965140999527648
127,d,UU,0.85,0.0,0.4952873999718576
128,d,UU,0.97,0.0,0.7600514000514522
130,d,UI,1.03,1.0,0.7426790000172332
131,d,II,1.15,1.0,0.4854461000068113
132,d,UI,0.94,1.0,0.9523340999148786
133,d,IU,1.06,0.0,0.5272203999338672
134,d,IU,0.94,0.0,0.484180000028573
135,d,II,0.85,0.0,0.461157500045374
136,d,II,1.15,1.0,0.4621638000244275
137,d,UI,1.15,1.0,0.4689843000378459
138,d,II,1.0,1.0,0.4861350000137463
139,d,II,0.97,1.0,0.5431295000016689
140,d,IU,1.0,0.0,0.5020461999811232
141,d,UU,1.15,1.0,0.3888244999106973
142,d,IU,1.03,0.0,0.5498891999013722
143,d,UU,1.0,0.0,0.5670642999466509
144,d,IU,0.85,0.0,0.4160238000331446
145,d,UU,0.85,0.0,0.3828110999893397
146,d,II,1.03,0.0,0.4478477999800816
147,d,IU,0.97,0.0,0.516857499955222
148,d,II,1.06,0.0,0.5480036999797449
149,d,II,0.97,0.0,0.4428537000203505
150,d,UI,0.97,1.0,0.5437610999215394
151,d,UU,1.06,1.0,0.544723599916324
152,d,IU,1.0,0.0,0.5296931000193581
153,d,IU,1.03,0.0,0.5027018000837415
154,d,IU,1.06,1.0,0.5757784000597894
155,d,UI,0.85,0.0,0.4947372999740764
156,d,II,1.0,0.0,0.5194111000746489
157,d,IU,0.85,0.0,0.5025717999087647
158,d,UI,1.15,1.0,0.4636626000283286
159,d,UI,1.06,1.0,0.432480699964799
160,d,UU,0.85,0.0,0.4317953999852761
161,d,II,0.85,0.0,0.4306608999613672
162,d,UI,0.85,0.0,0.5036191999679431
163,d,II,0.94,0.0,0.5608010001014918
164,d,UI,0.97,0.0,0.4615153999766335
165,d,UU,1.0,0.0,0.4784765000222251
166,d,IU,0.94,0.0,0.4274000000441447
167,d,UI,1.0,1.0,1.7804487000685183
168,d,UI,1.06,1.0,0.614716799929738
169,d,UU,1.06,1.0,0.5354080999968573
170,d,UU,1.03,1.0,1.0164099000394344
171,d,UU,0.94,0.0,0.5951869999989867
172,d,UU,1.15,1.0,0.5260850000195205
173,d,UI,1.03,0.0,1.5469755999511108
174,d,UI,0.94,0.0,0.9471148999873548
175,d,IU,1.15,1.0,0.4679633999476209
176,d,UU,0.97,0.0,1.770784999942407
177,d,IU,0.97,0.0,0.6309408000670373
178,d,II,0.94,0.0,0.5677736001089215
179,d,UU,0.94,0.0,0.5009973000269383
180,d,II,1.03,1.0,0.573958000051789
181,d,IU,1.15,1.0,0.5346735999919474
182,d,UU,1.03,1.0,1.1275127000408247
183,d,UI,1.0,1.0,0.8041068000020459
184,d,UU,0.97,1.0,0.5450736000202596
185,d,II,1.06,1.0,0.5097139999270439
186,d,II,1.06,1.0,0.5028639999218285
187,d,UU,0.97,0.0,0.5438803000142798
188,d,UU,1.0,1.0,0.448885399964638
189,d,II,1.15,1.0,1.3397735999897122
190,d,UU,1.03,1.0,0.4381065000779927
191,d,UU,0.94,0.0,0.5391933999489993
192,d,IU,0.97,0.0,0.4061477999202907
193,d,UI,0.94,0.0,0.5153402000432834
194,d,UI,0.85,0.0,0.4624057998880744
195,d,UU,1.06,1.0,0.3632022000383585
196,d,IU,1.03,0.0,0.4481939000543207
197,d,IU,1.03,0.0,0.4853764000581577
198,d,II,1.06,1.0,0.4783723999280482
199,d,UI,0.97,0.0,0.9073161999695004
200,d,UU,1.03,1.0,0.5759656999725848
201,d,IU,1.06,1.0,0.6910515999188647
202,d,UU,1.0,0.0,2.16783349995967
203,d,UU,0.85,0.0,0.4955332999816164
204,d,UI,1.15,1.0,0.4725376000860706
205,d,UI,1.15,1.0,0.4635627999668941
206,d,II,0.94,0.0,0.7045078000519425
207,d,IU,0.85,0.0,0.4554419999476522
208,d,IU,0.85,0.0,0.4724303999682888
209,d,II,0.85,0.0,0.4534361000405624
210,d,II,1.03,1.0,0.5442340000299737
211,d,IU,1.06,1.0,0.6471824999898672
212,d,II,1.0,0.0,1.7962449999758974
213,d,IU,1.0,0.0,1.4643155001103878
214,d,II,1.03,1.0,0.52865919994656
215,d,II,1.0,1.0,1.4515512000070885
216,d,IU,0.97,0.0,0.5257646000245586
217,d,UI,1.06,1.0,0.4987546999473125
218,d,II,0.97,0.0,0.7898307000286877
219,d,UI,0.97,1.0,0.5245988999959081
220,d,UU,0.85,0.0,0.4075353000080213
221,d,UU,0.94,0.0,0.4745453000068664
222,d,IU,1.15,1.0,0.5136739000445232
223,d,UU,1.15,1.0,0.4805793999694288
224,d,IU,0.94,0.0,0.4556182000087574
225,d,II,0.97,0.0,0.744560300023295
226,d,UU,0.97,0.0,1.0634255999466404
227,d,UI,1.0,1.0,0.8800254999659956
228,d,UU,1.15,1.0,0.444765800028108
229,d,II,0.94,0.0,0.4716493000742048
230,d,IU,1.0,0.0,0.5685294000431895
231,d,UI,0.94,0.0,0.5336258999304846
232,d,II,1.15,1.0,0.4644889000337571
233,d,UU,1.06,1.0,0.4974569000769406
234,d,UI,1.03,1.0,0.5963343000039458
235,d,UI,1.03,1.0,3.187561700004153
236,d,IU,0.94,0.0,0.6066876000259072
237,d,UI,1.0,1.0,0.7454049999359995
238,d,UI,1.06,1.0,0.8662277000257745
239,d,IU,1.15,1.0,0.4830391000723466
240,d,II,0.85,0.0,0.4640569000039249
241,d,UI,0.85,0.0,0.576957399956882
243,d,UI,1.03,1.0,1.0207775000017136
244,d,IU,0.97,0.0,0.6375390000175685
245,d,IU,1.15,1.0,0.5924330999841914
246,d,UU,0.97,0.0,0.5751157000195235
247,d,II,1.0,1.0,0.7699815999949351
248,d,UI,1.0,1.0,0.7430284000001848
249,d,II,0.94,0.0,0.5816526999697089
250,d,IU,0.85,0.0,0.4145472000818699
251,d,IU,0.94,0.0,0.3695712001062929
252,d,IU,1.15,1.0,0.5826017999788746
253,d,UI,1.03,1.0,0.5916127000236884
254,d,II,0.85,0.0,0.4626461999723688
255,d,II,1.06,1.0,0.463652899954468
256,d,IU,1.03,1.0,0.5925302999094129
257,d,UU,0.97,0.0,0.4954368000617251
258,d,UU,1.0,1.0,2.5304802999598905
259,d,II,1.06,1.0,1.4999884000280872
260,d,II,1.03,1.0,1.3502852000528949
261,d,UI,1.06,1.0,0.6147356999572366
262,d,IU,1.0,0.0,0.8817290000151843
263,d,II,1.0,0.0,1.672395100002177
264,d,UI,0.97,0.0,1.2785916000138968
265,d,UI,0.94,0.0,0.6509709000820294
266,d,UI,0.97,1.0,2.2000556000275537
267,d,II,0.97,1.0,1.1956569999456406
268,d,IU,1.0,0.0,0.4660547999665141
269,d,II,1.15,1.0,0.4191227999981493
270,d,IU,0.85,0.0,0.4381954000564292
271,d,UU,1.06,1.0,0.4853864000178873
272,d,UU,1.03,0.0,0.4143403000198304
273,d,IU,1.03,0.0,1.3292272000107914
274,d,UI,0.85,0.0,0.5016785999760032
275,d,UU,0.94,0.0,0.4728093000594526
276,d,II,1.15,1.0,0.4697186999255791
277,d,UU,1.15,1.0,0.3807624001055956
278,d,UU,1.15,1.0,0.5256650000810623
279,d,UI,1.15,1.0,0.594675499945879
280,d,UI,1.0,1.0,0.7277145999250934
281,d,UI,1.06,1.0,0.4745692999567836
282,d,UI,0.85,0.0,0.5353889999678358
283,d,IU,1.06,1.0,0.4402650999836623
284,d,UU,0.94,0.0,0.519320199964568
285,d,UU,0.85,0.0,0.5023563000140712
286,d,IU,1.06,1.0,1.7972252001054585
287,d,II,0.97,0.0,0.4513739999383688
288,d,UU,1.0,0.0,1.0163610000163317
289,d,II,1.03,1.0,1.2829849999397993
290,d,IU,0.97,0.0,0.5335381999611855
291,d,UI,1.15,1.0,0.5283242999576032
292,d,UU,0.85,0.0,0.4534619000041857
293,d,UU,1.06,1.0,0.4604065000312403
294,d,II,0.94,0.0,0.4455036000581458
295,d,UU,1.03,0.0,0.5904070000397041
296,d,UI,0.94,0.0,0.5672673999797553
297,d,II,0.85,0.0,0.4201754999812692
298,d,IU,0.94,0.0,0.3752561999717727
299,d,II,1.06,1.0,0.4823383999755606
300,d,II,1.0,0.0,0.7992575999815017
301,d,UI,0.85,0.0,0.4600234000245109
302,d,II,1.15,1.0,0.3910648000892252
303,d,UI,0.94,0.0,0.520276700030081
304,d,UU,0.85,0.0,0.3810392000013962
305,d,IU,0.85,0.0,0.3440664999652654
306,d,II,0.97,0.0,0.4332884999457747
307,d,IU,1.0,1.0,0.5442832000553608
308,d,II,0.94,0.0,0.7373963000718504
309,d,IU,0.85,0.0,0.384036700008437
310,d,II,1.06,1.0,0.5290810998994857
311,d,UU,1.15,1.0,0.4060483999783173
312,d,UU,1.15,1.0,0.3870857999427244
313,d,IU,1.06,1.0,0.692256800015457
314,d,UU,1.06,1.0,0.4630485000088811
315,d,UI,1.03,1.0,0.534025700064376
316,d,IU,1.03,0.0,0.5029652999946848
317,d,IU,1.0,0.0,1.1999366000527516
318,d,II,0.85,0.0,0.5404733000323176
319,d,UU,1.0,0.0,0.5093507000710815
320,d,IU,0.94,0.0,0.5083581999642774
321,d,IU,1.03,1.0,0.6133388000307605
322,d,UI,1.15,1.0,0.4801979000912979
323,d,UI,1.06,1.0,0.4932698000920936
324,d,IU,0.97,0.0,0.5280350999673828
325,d,UI,1.15,1.0,0.4851269000209868
326,d,II,1.15,1.0,0.4821197999408468
327,d,UI,0.85,0.0,0.4790899000363424
328,d,II,1.03,1.0,1.5100668000523
329,d,II,1.03,1.0,0.5024673999287188
330,d,UU,0.97,0.0,0.4313514999812469
331,d,IU,0.94,0.0,0.4245291000697762
332,d,II,1.0,0.0,0.5094327999977395
333,d,UU,1.06,1.0,0.4924563999520615
334,d,IU,1.15,1.0,0.4373634000075981
