,sub,cond,x,y,rt
0,l,UU,0.85,0.0,0.8811554999556392
1,l,UU,1.0,1.0,0.8138130999868736
2,l,II,1.15,1.0,0.672694299952127
3,l,UU,1.0,0.0,0.7096134999883361
4,l,IU,1.06,1.0,1.2443607000168413
5,l,IU,1.03,1.0,0.7207685000030324
6,l,II,1.0,0.0,0.9996918000397272
7,l,IU,1.03,1.0,1.14839689998189
8,l,II,1.03,1.0,0.682753800007049
9,l,UU,1.03,1.0,0.7197723999852315
10,l,II,1.03,1.0,1.606633100018371
11,l,IU,0.97,1.0,1.7367039999808185
12,l,II,1.15,1.0,0.6269453000277281
13,l,IU,0.94,1.0,0.8679180999752134
14,l,UI,1.15,1.0,0.7624427000409923
15,l,IU,1.15,1.0,0.8471604000078514
16,l,UI,0.94,0.0,0.8580713999690488
17,l,IU,1.0,1.0,1.092833500006236
18,l,UI,1.03,1.0,1.7654179999954067
19,l,II,1.06,1.0,0.8015246000140905
20,l,II,0.94,0.0,0.9844276999938302
21,l,IU,1.06,1.0,1.2450426999712365
22,l,IU,0.85,0.0,0.5454884000355378
23,l,UU,0.97,0.0,0.7441799999796785
24,l,UI,0.94,0.0,0.6091902000480331
25,l,UI,1.15,1.0,0.5880386000499129
26,l,II,0.94,0.0,0.5549213000340387
27,l,IU,1.0,1.0,2.16772760002641
28,l,UU,1.03,0.0,3.52379160001874
29,l,UI,1.03,1.0,0.7244937000214122
30,l,UI,0.85,0.0,0.6577223999775015
31,l,II,1.0,1.0,2.2823068000143394
32,l,UU,1.15,1.0,1.5499616999877617
33,l,II,0.85,0.0,1.014576199988369
34,l,UU,0.94,0.0,0.9669248000136575
35,l,UU,1.06,1.0,1.8274404000258075
36,l,II,0.97,0.0,0.8516132000368088
37,l,IU,0.94,0.0,0.728601599985268
38,l,UU,1.06,1.0,1.0031917999731377
39,l,UU,1.15,1.0,0.7739801999996416
40,l,UU,0.97,0.0,0.70471700001508
41,l,UI,0.97,1.0,1.415437399991788
42,l,UI,1.06,1.0,0.7697561999666505
43,l,UU,0.85,0.0,0.5665746000013314
44,l,IU,0.85,0.0,0.5155771000427194
45,l,II,0.85,0.0,0.57860539999092
46,l,IU,0.97,0.0,0.61949569999706
47,l,UI,1.0,0.0,2.4121864000335336
48,l,UI,1.0,1.0,0.5361479999846779
49,l,IU,1.15,1.0,0.739013199985493
50,l,UI,0.97,0.0,0.8278162999777123
51,l,UU,0.94,0.0,0.6346154999919236
52,l,UI,1.06,1.0,0.7534489999525249
53,l,II,0.97,0.0,2.8802545000216924
54,l,II,1.06,1.0,0.7155448999837972
55,l,UI,0.85,0.0,0.8024635000037961
56,l,II,1.03,0.0,2.239148300024681
57,l,II,1.15,1.0,0.7408073999686167
58,l,UU,0.85,0.0,0.7278906999854371
59,l,UU,1.06,1.0,0.9806036000372842
60,l,II,0.97,0.0,0.759326700004749
61,l,UI,0.85,0.0,0.5720508000231348
62,l,II,1.03,1.0,0.7189657000126317
63,l,UU,1.15,1.0,0.581908599997405
64,l,UI,1.03,1.0,0.8847120000282302
65,l,UU,0.94,0.0,0.6895232999813743
66,l,IU,1.15,1.0,0.6362787000252865
67,l,UU,0.97,0.0,2.899370300001465
68,l,UU,0.97,0.0,2.602504300011788
69,l,UU,1.06,1.0,0.728051099984441
70,l,IU,0.85,0.0,0.645114500017371
71,l,IU,1.03,1.0,0.9198086999822408
72,l,IU,0.97,0.0,1.3564287000335753
73,l,UI,0.94,0.0,1.1389516000053843
74,l,UU,1.0,1.0,0.955474200018216
75,l,II,1.15,1.0,0.7059694999479689
76,l,UU,0.85,0.0,1.0490628000115976
77,l,II,0.94,0.0,0.6996768999961205
78,l,UU,1.15,1.0,0.6525015000370331
79,l,UI,1.06,1.0,0.8212674999958836
80,l,UU,1.03,1.0,3.5180718999472447
81,l,IU,0.97,0.0,0.7929807000327855
82,l,UU,1.03,1.0,1.9417103999876413
83,l,UI,1.0,1.0,0.69571309996536
84,l,IU,1.0,0.0,1.922549800015986
85,l,UU,0.94,0.0,0.7344836999545805
86,l,IU,0.94,0.0,0.7533765999833122
87,l,UI,0.97,0.0,4.528298699995503
88,l,IU,1.06,1.0,1.3143404999864288
89,l,II,0.94,0.0,0.7372262999997474
90,l,II,0.97,0.0,2.601673799974378
91,l,II,1.0,1.0,1.6711297000292689
92,l,IU,0.85,0.0,0.5833939000149257
93,l,IU,0.94,0.0,0.6145114999962971
94,l,IU,1.0,1.0,2.743251400010194
95,l,IU,1.06,1.0,0.788668199966196
96,l,II,1.0,0.0,1.0834665999864228
97,l,UU,1.0,0.0,1.4940365999937055
98,l,UI,0.97,0.0,1.814402699994389
99,l,II,0.85,0.0,0.5664273999864236
100,l,UI,0.94,0.0,0.6012250000494532
101,l,UI,0.85,0.0,0.53626439999789
102,l,IU,1.03,1.0,1.9551035999902524
103,l,UI,1.03,1.0,1.168993900006171
