,sub,cond,x,y,rt
17,r,IU,1.06,1.0,0.6383769999956712
18,r,II,1.15,1.0,0.5552832000539638
19,r,IU,0.85,0.0,0.4181752000004053
20,r,UU,1.03,1.0,1.7812693999730982
21,r,UU,1.0,1.0,0.727525099995546
22,r,UI,0.94,0.0,1.1943595999618992
23,r,UU,0.97,0.0,0.4968547999742441
24,r,II,0.85,0.0,1.1778101000236347
25,r,UI,1.15,1.0,0.4743072999990545
26,r,IU,1.0,1.0,2.2471516000223346
27,r,UI,1.06,1.0,0.5309547000215389
28,r,UU,0.97,0.0,1.864118299970869
29,r,UI,1.0,1.0,2.438355699996464
30,r,UU,0.94,0.0,0.6338328999700025
31,r,UI,1.15,1.0,0.5026131000486203
32,r,II,0.97,0.0,1.0774006000137888
33,r,UU,0.85,0.0,0.6122506000101566
34,r,II,1.03,1.0,0.6074775999877602
35,r,UI,0.97,0.0,1.615992899984121
36,r,IU,1.03,1.0,2.408369699958712
37,r,UI,1.0,0.0,1.5458975999499671
38,r,II,1.0,1.0,2.775906399998348
39,r,IU,0.97,0.0,1.96959330001846
40,r,II,0.97,0.0,1.3393605000455864
41,r,II,0.85,0.0,0.5878134000231512
42,r,II,1.06,1.0,1.9090234999894165
43,r,IU,1.0,0.0,2.410763799969573
44,r,II,0.94,0.0,1.1264330000267364
45,r,IU,0.94,0.0,0.5790712999878451
46,r,UI,0.85,0.0,0.5559177999966778
47,r,II,0.94,0.0,0.5628355999942869
48,r,II,1.15,1.0,0.4957881000009365
49,r,UU,1.06,1.0,0.5789253000402823
50,r,UU,1.0,0.0,2.427694299956784
51,r,UI,0.94,0.0,1.1393795000039972
52,r,IU,0.94,0.0,0.6459163000108674
53,r,UU,0.94,0.0,0.8508511999971233
54,r,IU,1.15,1.0,0.6636338000535034
55,r,IU,0.97,1.0,1.046349000011105
56,r,UU,1.06,1.0,0.6910987999872304
57,r,UU,1.03,1.0,0.4460141999879852
58,r,II,1.03,1.0,0.5269936000113375
59,r,UU,0.85,0.0,0.4738000999786891
60,r,UI,1.03,1.0,0.5829362999647856
61,r,II,1.06,1.0,0.6077256000135094
62,r,UI,1.06,1.0,1.556750199990347
63,r,UI,0.85,0.0,0.6750488000106998
64,r,IU,0.85,0.0,0.5197401000186801
65,r,UI,0.97,0.0,0.4227916999952867
66,r,UU,1.15,1.0,0.4697330999770202
67,r,II,1.0,0.0,0.6787104000104591
68,r,IU,1.03,1.0,0.7955410999711603
69,r,UU,1.15,1.0,0.4343837999622337
70,r,UI,1.03,1.0,0.4976192999747582
71,r,IU,1.15,1.0,0.5704542000312358
72,r,IU,1.06,1.0,1.1652159999939613
73,r,UI,0.94,0.0,0.6258042000117712
74,r,IU,1.15,1.0,0.4828396000084467
75,r,II,1.15,1.0,0.5177889000042342
76,r,UU,1.06,1.0,0.5967054999782704
77,r,UU,1.03,1.0,0.6175488000153564
78,r,IU,1.15,1.0,0.4844662999967113
79,r,UI,1.0,1.0,0.6096174999838695
80,r,IU,0.85,0.0,0.4284659000113606
81,r,II,1.15,1.0,0.4755779999541119
82,r,UU,1.15,1.0,0.4883625999791547
83,r,II,0.97,1.0,0.4693520999862812
84,r,II,1.06,1.0,0.5346033999812789
85,r,UU,0.94,0.0,0.4293822000036016
86,r,UI,1.06,1.0,1.532356800045818
87,r,UI,0.97,0.0,1.144596999976784
88,r,IU,1.0,0.0,0.7053601000225171
89,r,II,0.85,0.0,0.5202078999718651
90,r,UU,1.06,1.0,0.4609313000109978
91,r,IU,0.85,0.0,0.4299471999984234
92,r,UU,1.03,0.0,0.439111599989701
93,r,UI,1.03,1.0,1.883993399969768
94,r,UI,1.06,1.0,0.8158756000339054
95,r,IU,1.06,1.0,1.1708811999997124
96,r,IU,1.0,0.0,0.5253841999801807
97,r,II,1.0,1.0,0.6003596999798901
98,r,UU,1.15,1.0,0.4613214000128209
99,r,UI,0.94,0.0,0.5842770999879576
100,r,UU,0.97,0.0,0.5612521999864839
101,r,UI,0.97,1.0,1.2460345000145026
102,r,IU,0.97,0.0,0.6804718999774195
103,r,IU,1.06,1.0,0.5734513999777846
104,r,II,0.85,0.0,0.4002710999920964
105,r,UI,0.85,0.0,0.4234348000027239
106,r,II,1.06,1.0,0.5345705000218004
107,r,UI,0.85,0.0,0.4713074000319466
108,r,UI,1.15,1.0,0.4562447000062093
109,r,UI,1.0,0.0,1.2032977999770085
110,r,II,1.0,0.0,1.3659629999892786
111,r,UU,0.94,0.0,0.5682299000327475
112,r,II,1.03,1.0,0.5551701000076719
113,r,UU,0.97,0.0,0.5460440999595448
114,r,IU,0.97,0.0,0.6271408000029624
115,r,UU,1.0,0.0,0.6179324999684468
116,r,IU,1.03,0.0,0.5806771999923512
117,r,UU,0.85,0.0,0.4397089999984018
118,r,IU,0.94,0.0,3.3189894999959506
119,r,UU,1.0,1.0,0.9857672000071034
120,r,UI,1.15,1.0,0.5145240999991074
121,r,UI,1.03,1.0,0.5615069000050426
122,r,IU,0.94,0.0,0.4625063000130467
123,r,IU,1.03,1.0,1.5412260000011884
124,r,II,0.94,0.0,1.3677840000018475
125,r,II,0.94,0.0,0.5700274999835528
126,r,II,1.03,1.0,0.5508571999962442
127,r,UU,0.85,0.0,0.6478370999684557
128,r,II,0.97,0.0,0.548753899987787
130,r,UU,1.15,1.0,0.4688870999962091
131,r,IU,1.03,1.0,0.4918906000093557
132,r,UU,1.0,1.0,1.3430019000079485
133,r,II,1.15,1.0,0.4374970000353642
134,r,II,0.97,0.0,0.4903875999734737
135,r,IU,0.85,0.0,0.4292855999665335
136,r,II,1.0,0.0,0.6623684000223875
137,r,UU,1.15,1.0,0.3892391999834217
138,r,UU,0.94,0.0,0.7903528999886476
139,r,II,0.85,0.0,0.4771910000126809
140,r,II,1.0,1.0,0.79406739998376
141,r,II,1.06,1.0,0.5289181999978609
142,r,UU,1.06,1.0,0.6198746999725699
143,r,UI,1.15,1.0,0.4766519999830052
144,r,UU,1.03,0.0,0.4675355000072159
145,r,IU,1.0,1.0,1.4447551000048406
146,r,IU,1.06,1.0,0.9771551000303588
147,r,UU,0.94,0.0,0.5217095999978483
148,r,IU,1.06,1.0,2.7345898000057787
149,r,UI,0.85,0.0,0.5600711000151932
150,r,UI,0.94,1.0,1.1968547999858856
151,r,UU,0.97,0.0,0.947414199996274
152,r,II,0.94,0.0,0.5161394000169821
153,r,IU,1.15,1.0,0.4511904999963008
154,r,UU,1.0,1.0,2.3500804000068456
155,r,IU,1.0,0.0,2.8919087999966
156,r,UI,1.06,1.0,0.5733815000276081
157,r,UU,0.85,0.0,0.5180986999766901
158,r,UI,1.03,0.0,1.0030891000060365
159,r,II,1.15,1.0,0.5118519000243396
160,r,UU,0.97,0.0,1.0707391999894753
161,r,II,1.03,1.0,0.5413638000027277
162,r,UI,1.06,1.0,0.5202233000309207
163,r,IU,0.97,0.0,0.5833086999482475
164,r,II,0.85,0.0,0.4163131999666802
165,r,UI,1.03,1.0,0.3771625999943353
166,r,UU,0.85,0.0,0.4522093999548815
167,r,II,0.94,0.0,0.5272269999841228
168,r,IU,0.85,0.0,0.4202712000114843
169,r,UI,0.94,0.0,0.6054298000526614
170,r,II,0.97,0.0,0.8464270000113174
171,r,UI,1.15,1.0,0.4088600000250153
172,r,UU,1.03,1.0,2.187873899994884
173,r,IU,0.94,0.0,1.353876199980732
174,r,UI,0.97,0.0,2.406051900004968
175,r,IU,1.03,1.0,1.5859379000030458
176,r,IU,0.94,0.0,0.9901399000082164
177,r,UU,1.06,1.0,0.5406208999920636
178,r,II,1.06,1.0,0.5516066999989562
179,r,IU,1.15,1.0,0.5047579000238329
180,r,UI,0.97,0.0,3.447560500004329
181,r,II,1.03,1.0,0.5465883999713697
182,r,UI,0.85,0.0,0.4515183999901637
183,r,UI,1.0,0.0,1.6306253999937326
184,r,UI,1.0,0.0,1.0366710999514908
185,r,IU,0.97,0.0,1.0433697000262327
186,r,IU,0.94,1.0,1.9419565999996848
187,r,UI,0.94,0.0,2.445798399974592
188,r,IU,1.03,1.0,2.625724399986211
189,r,IU,1.03,1.0,1.5649711000151
190,r,UU,1.15,1.0,0.9614064999623224
191,r,II,1.06,1.0,0.6220399999874644
192,r,II,1.03,1.0,3.406785300001502
193,r,II,1.0,1.0,1.8260361999855377
194,r,UI,1.06,1.0,0.6320592000265606
195,r,UI,0.85,0.0,0.6867822000058368
196,r,IU,1.0,1.0,1.491793899971526
197,r,UI,0.97,0.0,3.319979600026272
198,r,II,0.85,0.0,0.5651736999861896
199,r,IU,1.06,1.0,1.090088900004048
200,r,UU,1.0,1.0,1.1807308999705128
201,r,UU,1.0,0.0,0.9731491000275128
202,r,UU,0.94,0.0,0.6457872000173666
203,r,UI,0.94,0.0,0.946740299987141
204,r,UI,1.03,1.0,0.9535146999987774
205,r,II,0.94,0.0,0.5879160000476986
206,r,UU,0.97,0.0,3.429102700029034
207,r,IU,0.94,0.0,1.0719059000257405
208,r,UU,0.97,0.0,0.5684248000034131
