ori_st,ori_pr,xpos_st,xpos_pr,size,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,wel_pra.started,wel_pra.stopped,resp_wel.keys,resp_wel.rt,resp_wel.started,resp_wel.stopped,standard_pra.started,standard_pra.stopped,prove_pra.started,prove_pra.stopped,fixation.started,fixation.stopped,resp_pra.keys,resp_pra.rt,resp_pra.started,resp_pra.stopped,instr.started,instr.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,standard.started,standard.stopped,probe.started,probe.stopped,text.started,text.stopped,resp.keys,resp.rt,resp.started,resp.stopped,text_2.started,text_2.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,text_3.started,text_3.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.started,key_resp_3.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,29.795541700092144,None,space,137.87962509994395,29.795541700092144,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,f,001,2021_Jul_02_1155,toilet,2021.1.3,99.95941654023954,
0,0,-4,4,0.85,0,0,0,0,,,,,,,,,,,,,,,168.69721460004803,None,168.69721460004803,None,168.19696249999106,None,f,0.7059532999992371,168.69721460004803,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,f,001,2021_Jul_02_1155,toilet,2021.1.3,99.95941654023954,
0,0,-4,4,1.15,0,1,1,2,,,,,,,,,,,,,,,170.41838210006244,None,170.41838210006244,None,169.9181328000268,None,j,0.6007129000499845,170.41838210006244,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,f,001,2021_Jul_02_1155,toilet,2021.1.3,99.95941654023954,
0,180,-4,4,1.15,0,2,2,6,,,,,,,,,,,,,,,172.01946380001027,None,172.01946380001027,None,171.5191217000829,None,j,0.6318412999389693,172.01946380001027,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,f,001,2021_Jul_02_1155,toilet,2021.1.3,99.95941654023954,
180,0,-4,4,0.85,0,3,3,12,,,,,,,,,,,,,,,173.65057599998545,None,173.65057599998545,None,173.15022700000554,None,f,0.48857439996208996,173.65057599998545,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,f,001,2021_Jul_02_1155,toilet,2021.1.3,99.95941654023954,
0,0,4,-4,0.85,0,4,4,1,,,,,,,,,,,,,,,175.14157850004267,None,175.14157850004267,None,174.65124480007216,None,j,0.4217389998957515,175.14157850004267,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,f,001,2021_Jul_02_1155,toilet,2021.1.3,99.95941654023954,
180,180,-4,4,1.15,0,5,5,10,,,,,,,,,,,,,,,176.5726434000535,None,176.5726434000535,None,176.0722108000191,None,j,0.5106846999842674,176.5726434000535,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,f,001,2021_Jul_02_1155,toilet,2021.1.3,99.95941654023954,
0,180,4,-4,1.15,0,6,6,7,,,,,,,,,,,,,,,178.09358270000666,None,178.09358270000666,None,177.5932727000909,None,f,0.41363309998996556,178.09358270000666,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,f,001,2021_Jul_02_1155,toilet,2021.1.3,99.95941654023954,
180,0,-4,4,0.85,0,7,7,13,,,,,,,,,,,,,,,179.51454130001366,None,179.51454130001366,None,179.01420760003384,None,f,0.512611799989827,179.51454130001366,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,f,001,2021_Jul_02_1155,toilet,2021.1.3,99.95941654023954,
180,180,-4,4,0.85,0,8,8,8,,,,,,,,,,,,,,,181.03557290008757,None,181.03557290008757,None,180.53522650001105,None,f,0.47951580001972616,181.03557290008757,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,f,001,2021_Jul_02_1155,toilet,2021.1.3,99.95941654023954,
0,180,-4,4,0.85,0,9,9,4,,,,,,,,,,,,,,,182.51657780003734,None,182.51657780003734,None,182.01623340009246,None,f,0.5506918999599293,182.51657780003734,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,f,001,2021_Jul_02_1155,toilet,2021.1.3,99.95941654023954,
180,180,-4,4,1.15,0,10,10,11,,,,,,,,,,,,,,,184.06771420000587,None,184.06771420000587,None,183.56737010006327,None,j,0.47138680005446076,184.06771420000587,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,f,001,2021_Jul_02_1155,toilet,2021.1.3,99.95941654023954,
0,0,4,-4,1.15,0,11,11,3,,,,,,,,,,,,,,,185.5386201000074,None,185.5386201000074,None,185.03837680001743,None,f,0.4564740000059828,185.5386201000074,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,f,001,2021_Jul_02_1155,toilet,2021.1.3,99.95941654023954,
180,0,-4,4,1.15,0,12,12,15,,,,,,,,,,,,,,,186.99960950005334,None,186.99960950005334,None,186.49927030003164,None,j,0.45160090003628284,186.99960950005334,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,f,001,2021_Jul_02_1155,toilet,2021.1.3,99.95941654023954,
180,0,-4,4,1.15,0,13,13,14,,,,,,,,,,,,,,,188.47060880006757,None,188.47060880006757,None,187.97026349999942,None,j,0.4685503999935463,188.47060880006757,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,f,001,2021_Jul_02_1155,toilet,2021.1.3,99.95941654023954,
0,180,4,-4,0.85,0,14,14,5,,,,,,,,,,,,,,,189.95160900009796,None,189.95160900009796,None,189.45127010007855,None,j,0.49158709996845573,189.95160900009796,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,f,001,2021_Jul_02_1155,toilet,2021.1.3,99.95941654023954,
180,180,-4,4,0.85,0,15,15,9,,,,,,,,,,,,,,,191.45271790004335,None,191.45271790004335,None,190.9522909000516,None,f,0.4145865000318736,191.45271790004335,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,f,001,2021_Jul_02_1155,toilet,2021.1.3,99.95941654023954,
180,180,4,-4,1.15,,,,,0,0,0,0,0,0,0,41,,,,,,,,,,,,,,,,,191.89295990008395,None,space,81.44638269999996,191.89295990008395,None,274.358790300088,None,274.358790300088,None,273.8584482000442,None,f,0.4681659999769181,274.358790300088,None,,,,,,,,,,,,,f,001,2021_Jul_02_1155,toilet,2021.1.3,99.95941654023954,
180,180,-4,4,0.94,,,,,0,0,0,0,0,1,1,29,,,,,,,,,,,,,,,,,,,,,,,275.8297765000025,None,275.8297765000025,None,275.3394497000845,None,f,0.4691762999864295,275.8297765000025,None,,,,,,,,,,,,,f,001,2021_Jul_02_1155,toilet,2021.1.3,99.95941654023954,
180,180,-4,4,1.03,,,,,0,0,0,0,0,2,2,32,,,,,,,,,,,,,,,,,,,,,,,277.3107849000953,None,277.3107849000953,None,276.8104452000698,None,j,0.39636130002327263,277.3107849000953,None,,,,,,,,,,,,,f,001,2021_Jul_02_1155,toilet,2021.1.3,99.95941654023954,
180,180,-4,4,1.0,,,,,0,0,0,0,0,3,3,31,,,,,,,,,,,,,,,,,,,,,,,278.7218310000608,None,278.7218310000608,None,278.2214002000401,None,j,1.0972342999884859,278.7218310000608,None,,,,,,,,,,,,,f,001,2021_Jul_02_1155,toilet,2021.1.3,99.95941654023954,
180,180,-4,4,0.97,,,,,0,0,0,0,0,4,4,30,,,,,,,,,,,,,,,,,,,,,,,280.8332041000249,None,280.8332041000249,None,280.33282930008136,None,f,0.601869500009343,280.8332041000249,None,,,,,,,,,,,,,f,001,2021_Jul_02_1155,toilet,2021.1.3,99.95941654023954,
180,0,-4,4,1.06,,,,,0,0,0,0,0,5,5,47,,,,,,,,,,,,,,,,,,,,,,,282.43425859999843,None,282.43425859999843,None,281.93391600006726,None,j,0.4406907999655232,282.43425859999843,None,,,,,,,,,,,,,f,001,2021_Jul_02_1155,toilet,2021.1.3,99.95941654023954,
0,180,4,-4,1.06,,,,,0,0,0,0,0,6,6,26,,,,,,,,,,,,,,,,,,,,,,,283.8752302000066,None,283.8752302000066,None,283.37490110006183,None,f,0.47180369996931404,283.8752302000066,None,,,,,,,,,,,,,f,001,2021_Jul_02_1155,toilet,2021.1.3,99.95941654023954,
0,0,4,-4,1.0,,,,,0,0,0,0,0,7,7,10,,,,,,,,,,,,,,,,,,,,,,,285.35623450006824,None,285.35623450006824,None,284.85589480004273,None,j,0.43073590006679296,285.35623450006824,None,,,,,,,,,,,,,f,001,2021_Jul_02_1155,toilet,2021.1.3,99.95941654023954,
180,180,4,-4,0.85,,,,,0,0,0,0,0,8,8,35,,,,,,,,,,,,,,,,,,,,,,,286.7872972000623,None,286.7872972000623,None,286.2868634000188,None,j,0.48766979994252324,286.7872972000623,None,,,,,,,,,,,,,f,001,2021_Jul_02_1155,toilet,2021.1.3,99.95941654023954,
0,0,4,-4,1.06,,,,,0,0,0,0,0,9,9,12,,,,,,,,,,,,,,,,,,,,,,,288.27825000009034,None,288.27825000009034,None,287.77796219999436,None,f,0.5807334999553859,288.27825000009034,None,,,,,,,,,,,,,f,001,2021_Jul_02_1155,toilet,2021.1.3,99.95941654023954,
180,0,-4,4,1.03,,,,,0,0,0,0,0,10,10,46,,,,,,,,,,,,,,,,,,,,,,,289.8592852000147,None,289.8592852000147,None,289.3589473000029,None,j,0.8397083999589086,289.8592852000147,None,,,,,,,,,,,,,f,001,2021_Jul_02_1155,toilet,2021.1.3,99.95941654023954,
0,180,-4,4,0.97,,,,,0,0,0,0,0,11,11,16,,,,,,,,,,,,,,,,,,,,,,,291.7005287000211,None,291.7005287000211,None,291.2001916000154,None,f,0.7905512999277562,291.7005287000211,None,,,,,,,,,,,,,f,001,2021_Jul_02_1155,toilet,2021.1.3,99.95941654023954,
0,0,4,-4,0.85,,,,,0,0,0,0,0,12,12,7,,,,,,,,,,,,,,,,,,,,,,,293.50175100006163,None,293.50175100006163,None,293.00141430005897,None,j,0.4293072000145912,293.50175100006163,None,,,,,,,,,,,,,f,001,2021_Jul_02_1155,toilet,2021.1.3,99.95941654023954,
180,0,-4,4,0.97,,,,,0,0,0,0,0,13,13,44,,,,,,,,,,,,,,,,,,,,,,,294.9427888999926,None,294.9427888999926,None,294.44238670007326,None,f,2.1881957000587136,294.9427888999926,None,,,,,,,,,,,,,f,001,2021_Jul_02_1155,toilet,2021.1.3,99.95941654023954,
0,0,-4,4,1.15,,,,,0,0,0,0,0,14,14,6,,,,,,,,,,,,,,,,,,,,,,,298.13491560006514,None,298.13491560006514,None,297.6345542999916,None,j,0.42004950006958097,298.13491560006514,None,,,,,,,,,,,,,f,001,2021_Jul_02_1155,toilet,2021.1.3,99.95941654023954,
0,180,-4,4,1.0,,,,,0,0,0,0,0,15,15,17,,,,,,,,,,,,,,,,,,,,,,,299.55585170001723,None,299.55585170001723,None,299.0555494000437,None,j,0.72748080000747,299.55585170001723,None,,,,,,,,,,,,,f,001,2021_Jul_02_1155,toilet,2021.1.3,99.95941654023954,
180,0,4,-4,1.0,,,,,0,0,0,0,0,16,16,52,,,,,,,,,,,,,,,,,,,,,,,301.29703270003665,None,301.29703270003665,None,300.79669400001876,None,f,2.4579208999639377,301.29703270003665,None,,,,,,,,,,,,,f,001,2021_Jul_02_1155,toilet,2021.1.3,99.95941654023954,
