ori_st,ori_pr,xpos_st,xpos_pr,size,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,wel_pra.started,wel_pra.stopped,resp_wel.keys,resp_wel.rt,resp_wel.started,resp_wel.stopped,standard_pra.started,standard_pra.stopped,prove_pra.started,prove_pra.stopped,fixation.started,fixation.stopped,resp_pra.keys,resp_pra.rt,resp_pra.started,resp_pra.stopped,instr.started,instr.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,standard.started,standard.stopped,probe.started,probe.stopped,text.started,text.stopped,resp.keys,resp.rt,resp.started,resp.stopped,text_2.started,text_2.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,44.47940930002369,None,space,177.2546743999992,44.47940930002369,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,p,001,2021_Jul_08_1534,toilet,2021.1.3,99.88872398050411,
180,0,-4,4,1.15,0,0,0,15,,,,,,,,,,,,,,,222.78016340002068,None,222.78016340002068,None,222.27987350002513,None,j,2.041626799997175,222.78016340002068,None,,,,,,,,,,,,,,,,,,,,,,,p,001,2021_Jul_08_1534,toilet,2021.1.3,99.88872398050411,
0,180,-4,4,1.15,0,1,1,6,,,,,,,,,,,,,,,225.82218330001342,None,225.82218330001342,None,225.321848600026,None,j,1.8315978000173345,225.82218330001342,None,,,,,,,,,,,,,,,,,,,,,,,p,001,2021_Jul_08_1534,toilet,2021.1.3,99.88872398050411,
0,180,4,-4,1.15,0,2,2,7,,,,,,,,,,,,,,,228.65419200001634,None,228.65419200001634,None,228.15376760001527,None,f,0.6316945000144187,228.65419200001634,None,,,,,,,,,,,,,,,,,,,,,,,p,001,2021_Jul_08_1534,toilet,2021.1.3,99.88872398050411,
0,180,4,-4,0.85,0,3,3,5,,,,,,,,,,,,,,,230.29522730002645,None,230.29522730002645,None,229.79495790001238,None,j,0.8146155999857001,230.29522730002645,None,,,,,,,,,,,,,,,,,,,,,,,p,001,2021_Jul_08_1534,toilet,2021.1.3,99.88872398050411,
180,0,-4,4,0.85,0,4,4,13,,,,,,,,,,,,,,,232.11645820000558,None,232.11645820000558,None,231.61611490001087,None,f,0.5934626999951433,232.11645820000558,None,,,,,,,,,,,,,,,,,,,,,,,p,001,2021_Jul_08_1534,toilet,2021.1.3,99.88872398050411,
180,180,-4,4,1.15,0,5,5,11,,,,,,,,,,,,,,,233.71754170002532,None,233.71754170002532,None,233.2171987000038,None,j,0.5284349999856204,233.71754170002532,None,,,,,,,,,,,,,,,,,,,,,,,p,001,2021_Jul_08_1534,toilet,2021.1.3,99.88872398050411,
180,0,-4,4,0.85,0,6,6,12,,,,,,,,,,,,,,,235.25858520000475,None,235.25858520000475,None,234.75824360002298,None,f,0.49133309998433106,235.25858520000475,None,,,,,,,,,,,,,,,,,,,,,,,p,001,2021_Jul_08_1534,toilet,2021.1.3,99.88872398050411,
0,180,-4,4,0.85,0,7,7,4,,,,,,,,,,,,,,,236.75960590000614,None,236.75960590000614,None,236.259338200005,None,f,0.6543623000034131,236.75960590000614,None,,,,,,,,,,,,,,,,,,,,,,,p,001,2021_Jul_08_1534,toilet,2021.1.3,99.88872398050411,
180,180,-4,4,0.85,0,8,8,9,,,,,,,,,,,,,,,238.43074420001358,None,238.43074420001358,None,237.93043480001506,None,f,0.48709640000015497,238.43074420001358,None,,,,,,,,,,,,,,,,,,,,,,,p,001,2021_Jul_08_1534,toilet,2021.1.3,99.88872398050411,
0,0,4,-4,0.85,0,9,9,1,,,,,,,,,,,,,,,239.9217552000191,None,239.9217552000191,None,239.42141520002042,None,j,0.4683364999946207,239.9217552000191,None,,,,,,,,,,,,,,,,,,,,,,,p,001,2021_Jul_08_1534,toilet,2021.1.3,99.88872398050411,
180,180,-4,4,0.85,0,10,10,8,,,,,,,,,,,,,,,241.40276460000314,None,241.40276460000314,None,240.9024167000025,None,f,0.42725989999598823,241.40276460000314,None,,,,,,,,,,,,,,,,,,,,,,,p,001,2021_Jul_08_1534,toilet,2021.1.3,99.88872398050411,
180,180,-4,4,1.15,0,11,11,10,,,,,,,,,,,,,,,242.84373839999898,None,242.84373839999898,None,242.34342869999819,None,j,0.4420869000023231,242.84373839999898,None,,,,,,,,,,,,,,,,,,,,,,,p,001,2021_Jul_08_1534,toilet,2021.1.3,99.88872398050411,
