ori_st,ori_pr,xpos_st,xpos_pr,size,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,wel_pra.started,wel_pra.stopped,resp_wel.keys,resp_wel.rt,resp_wel.started,resp_wel.stopped,standard_pra.started,standard_pra.stopped,prove_pra.started,prove_pra.stopped,fixation.started,fixation.stopped,resp_pra.keys,resp_pra.rt,resp_pra.started,resp_pra.stopped,instr.started,instr.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,standard.started,standard.stopped,probe.started,probe.stopped,text.started,text.stopped,resp.keys,resp.rt,resp.started,resp.stopped,text_2.started,text_2.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,text_3.started,text_3.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.started,key_resp_3.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,18.98447880000458,None,space,152.96525040001143,18.98447880000458,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,q,001,2021_Jul_08_1644,toilet,2021.1.3,99.94842662058429,
0,180,4,-4,1.15,0,0,0,7,,,,,,,,,,,,,,,172.9688826999918,None,172.9688826999918,None,172.4685315999959,None,f,2.3250629999965895,172.9688826999918,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,q,001,2021_Jul_08_1644,toilet,2021.1.3,99.94842662058429,
0,0,4,-4,0.85,0,1,1,1,,,,,,,,,,,,,,,176.3011419000104,None,176.3011419000104,None,175.80079760000808,None,j,1.3445194000087213,176.3011419000104,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,q,001,2021_Jul_08_1644,toilet,2021.1.3,99.94842662058429,
0,180,4,-4,0.85,0,2,2,5,,,,,,,,,,,,,,,178.65281390000018,None,178.65281390000018,None,178.15248650001013,None,j,1.1048562999931164,178.65281390000018,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,q,001,2021_Jul_08_1644,toilet,2021.1.3,99.94842662058429,
0,180,-4,4,0.85,0,3,3,4,,,,,,,,,,,,,,,180.76416180000524,None,180.76416180000524,None,180.26382280001417,None,f,0.7694923999952152,180.76416180000524,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,q,001,2021_Jul_08_1644,toilet,2021.1.3,99.94842662058429,
180,180,-4,4,0.85,0,4,4,9,,,,,,,,,,,,,,,182.5353627000004,None,182.5353627000004,None,182.03502290000324,None,f,0.7904777000076137,182.5353627000004,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,q,001,2021_Jul_08_1644,toilet,2021.1.3,99.94842662058429,
0,180,-4,4,1.15,0,5,5,6,,,,,,,,,,,,,,,184.33659690001514,None,184.33659690001514,None,183.83624520001467,None,j,0.605284399993252,184.33659690001514,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,q,001,2021_Jul_08_1644,toilet,2021.1.3,99.94842662058429,
180,0,-4,4,1.15,0,6,6,15,,,,,,,,,,,,,,,185.95777100001578,None,185.95777100001578,None,185.45734180000727,None,j,0.5359719000116456,185.95777100001578,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,q,001,2021_Jul_08_1644,toilet,2021.1.3,99.94842662058429,
180,0,-4,4,0.85,0,7,7,13,,,,,,,,,,,,,,,187.5087346000073,None,187.5087346000073,None,187.00840019999305,None,f,0.456997200002661,187.5087346000073,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,q,001,2021_Jul_08_1644,toilet,2021.1.3,99.94842662058429,
180,180,-4,4,1.15,0,8,8,11,,,,,,,,,,,,,,,188.969722800015,None,188.969722800015,None,188.4693869999901,None,j,1.8120452000002842,188.969722800015,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,q,001,2021_Jul_08_1644,toilet,2021.1.3,99.94842662058429,
