ori_st,ori_pr,xpos_st,xpos_pr,size,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,wel_pra.started,wel_pra.stopped,resp_wel.keys,resp_wel.rt,resp_wel.started,resp_wel.stopped,standard_pra.started,standard_pra.stopped,prove_pra.started,prove_pra.stopped,fixation.started,fixation.stopped,resp_pra.keys,resp_pra.rt,resp_pra.started,resp_pra.stopped,instr.started,instr.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,standard.started,standard.stopped,probe.started,probe.stopped,text.started,text.stopped,resp.keys,resp.rt,resp.started,resp.stopped,text_2.started,text_2.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,9.40088700002525,None,space,98.7916777000064,9.40088700002525,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,r,001,2021_Jul_10_1642,toilet,2021.1.3,99.89261545799386,
0,0,-4,4,1.15,0,0,0,2,,,,,,,,,,,,,,,109.21751809999114,None,109.21751809999114,None,108.71717830002308,None,j,5.167017099971417,109.21751809999114,None,,,,,,,,,,,,,,,,,,,,,,,r,001,2021_Jul_10_1642,toilet,2021.1.3,99.89261545799386,
180,0,-4,4,0.85,0,1,1,12,,,,,,,,,,,,,,,115.40171440003905,None,115.40171440003905,None,114.90144400001736,None,f,1.8147246000007726,115.40171440003905,None,,,,,,,,,,,,,,,,,,,,,,,r,001,2021_Jul_10_1642,toilet,2021.1.3,99.89261545799386,
180,180,-4,4,0.85,0,2,2,8,,,,,,,,,,,,,,,118.223630100023,None,118.223630100023,None,117.72328690002905,None,f,1.0888377000228502,118.223630100023,None,,,,,,,,,,,,,,,,,,,,,,,r,001,2021_Jul_10_1642,toilet,2021.1.3,99.89261545799386,
0,180,-4,4,0.85,0,3,3,4,,,,,,,,,,,,,,,120.32502889999887,None,120.32502889999887,None,119.82472330000019,None,f,1.499396999948658,120.32502889999887,None,,,,,,,,,,,,,,,,,,,,,,,r,001,2021_Jul_10_1642,toilet,2021.1.3,99.89261545799386,
180,180,-4,4,0.85,0,4,4,9,,,,,,,,,,,,,,,122.83679760002997,None,122.83679760002997,None,122.33643030002713,None,f,1.691543199995067,122.83679760002997,None,,,,,,,,,,,,,,,,,,,,,,,r,001,2021_Jul_10_1642,toilet,2021.1.3,99.89261545799386,
0,180,4,-4,0.85,0,5,5,5,,,,,,,,,,,,,,,125.5285797000397,None,125.5285797000397,None,125.02823980001267,None,j,1.1918643999961205,125.5285797000397,None,,,,,,,,,,,,,,,,,,,,,,,r,001,2021_Jul_10_1642,toilet,2021.1.3,99.89261545799386,
180,0,-4,4,1.15,0,6,6,15,,,,,,,,,,,,,,,127.73007230000803,None,127.73007230000803,None,127.22973409999395,None,j,1.3423659999971278,127.73007230000803,None,,,,,,,,,,,,,,,,,,,,,,,r,001,2021_Jul_10_1642,toilet,2021.1.3,99.89261545799386,
0,0,-4,4,0.85,0,7,7,0,,,,,,,,,,,,,,,130.081751300022,None,130.081751300022,None,129.5814000000246,None,f,1.3425346000003628,130.081751300022,None,,,,,,,,,,,,,,,,,,,,,,,r,001,2021_Jul_10_1642,toilet,2021.1.3,99.89261545799386,
180,0,-4,4,1.15,0,8,8,14,,,,,,,,,,,,,,,132.43326220003655,None,132.43326220003655,None,131.93292250001105,None,j,0.6553386999876238,132.43326220003655,None,,,,,,,,,,,,,,,,,,,,,,,r,001,2021_Jul_10_1642,toilet,2021.1.3,99.89261545799386,
0,0,4,-4,1.15,0,9,9,3,,,,,,,,,,,,,,,134.10439520003274,None,134.10439520003274,None,133.60405630001333,None,f,0.7280761000001803,134.10439520003274,None,,,,,,,,,,,,,,,,,,,,,,,r,001,2021_Jul_10_1642,toilet,2021.1.3,99.89261545799386,
0,0,4,-4,0.85,0,10,10,1,,,,,,,,,,,,,,,135.84557599999243,None,135.84557599999243,None,135.345239199989,None,j,0.5868897999753244,135.84557599999243,None,,,,,,,,,,,,,,,,,,,,,,,r,001,2021_Jul_10_1642,toilet,2021.1.3,99.89261545799386,
180,180,-4,4,1.15,0,11,11,11,,,,,,,,,,,,,,,137.44675170001574,None,137.44675170001574,None,136.94639850000385,None,j,0.8736273999675177,137.44675170001574,None,,,,,,,,,,,,,,,,,,,,,,,r,001,2021_Jul_10_1642,toilet,2021.1.3,99.89261545799386,
0,180,4,-4,1.15,0,12,12,7,,,,,,,,,,,,,,,139.32793530001072,None,139.32793530001072,None,138.82760409999173,None,f,1.1843995000235736,139.32793530001072,None,,,,,,,,,,,,,,,,,,,,,,,r,001,2021_Jul_10_1642,toilet,2021.1.3,99.89261545799386,
180,0,-4,4,0.85,0,13,13,13,,,,,,,,,,,,,,,141.51942349999445,None,141.51942349999445,None,141.01908540003933,None,f,1.2169906999915838,141.51942349999445,None,,,,,,,,,,,,,,,,,,,,,,,r,001,2021_Jul_10_1642,toilet,2021.1.3,99.89261545799386,
180,180,-4,4,1.15,0,14,14,10,,,,,,,,,,,,,,,143.7509410000057,None,143.7509410000057,None,143.25067330000456,None,j,0.9214991999906488,143.7509410000057,None,,,,,,,,,,,,,,,,,,,,,,,r,001,2021_Jul_10_1642,toilet,2021.1.3,99.89261545799386,
0,180,-4,4,1.15,0,15,15,6,,,,,,,,,,,,,,,145.67223710002145,None,145.67223710002145,None,145.18198510003276,None,j,0.9042247000033967,145.67223710002145,None,,,,,,,,,,,,,,,,,,,,,,,r,001,2021_Jul_10_1642,toilet,2021.1.3,99.89261545799386,
180,0,4,-4,1.06,,,,,0,0,0,0,0,0,0,54,,,,,,,,,,,,,,,,,146.60287380003138,None,space,77.15778429998318,146.60287380003138,None,224.78597570001148,None,224.78597570001148,None,224.28555319999577,None,f,0.6383769999956712,224.78597570001148,None,,,,,,,r,001,2021_Jul_10_1642,toilet,2021.1.3,99.89261545799386,
180,180,4,-4,1.15,,,,,0,0,0,0,0,1,1,41,,,,,,,,,,,,,,,,,,,,,,,226.43701090000104,None,226.43701090000104,None,225.9367121999967,None,f,0.5552832000539638,226.43701090000104,None,,,,,,,r,001,2021_Jul_10_1642,toilet,2021.1.3,99.89261545799386,
180,0,4,-4,0.85,,,,,0,0,0,0,0,2,2,49,,,,,,,,,,,,,,,,,,,,,,,227.9980689000222,None,227.9980689000222,None,227.49770170002012,None,j,0.4181752000004053,227.9980689000222,None,,,,,,,r,001,2021_Jul_10_1642,toilet,2021.1.3,99.89261545799386,
0,0,4,-4,1.03,,,,,0,0,0,0,0,3,3,11,,,,,,,,,,,,,,,,,,,,,,,229.41903540003113,None,229.41903540003113,None,228.91869030002272,None,f,1.7812693999730982,229.41903540003113,None,,,,,,,r,001,2021_Jul_10_1642,toilet,2021.1.3,99.89261545799386,
