ori_st,ori_pr,xpos_st,xpos_pr,size,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,wel_pra.started,wel_pra.stopped,resp_wel.keys,resp_wel.rt,resp_wel.started,resp_wel.stopped,standard_pra.started,standard_pra.stopped,prove_pra.started,prove_pra.stopped,fixation.started,fixation.stopped,resp_pra.keys,resp_pra.rt,resp_pra.started,resp_pra.stopped,instr.started,instr.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,standard.started,standard.stopped,probe.started,probe.stopped,text.started,text.stopped,resp.keys,resp.rt,resp.started,resp.stopped,text_2.started,text_2.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,text_3.started,text_3.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.started,key_resp_3.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,21.147311899927445,None,space,141.60869819996879,21.147311899927445,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,s,001,2021_Jul_12_1654,toilet,2021.1.3,99.88822517845452,
180,180,-4,4,0.85,0,0,0,9,,,,,,,,,,,,,,,163.77998509991448,None,163.77998509991448,None,163.2795696000103,None,f,14.432179099996574,163.77998509991448,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,s,001,2021_Jul_12_1654,toilet,2021.1.3,99.88822517845452,
180,0,-4,4,0.85,0,1,1,12,,,,,,,,,,,,,,,179.23043889994733,None,179.23043889994733,None,178.7300314999884,None,f,2.629509699996561,179.23043889994733,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,s,001,2021_Jul_12_1654,toilet,2021.1.3,99.88822517845452,
180,180,-4,4,0.85,0,2,2,8,,,,,,,,,,,,,,,182.86287329997867,None,182.86287329997867,None,182.362498799921,None,f,3.061200500000268,182.86287329997867,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,s,001,2021_Jul_12_1654,toilet,2021.1.3,99.88822517845452,
180,0,-4,4,1.15,0,3,3,14,,,,,,,,,,,,,,,186.93557929992676,None,186.93557929992676,None,186.43534049997106,None,j,0.8125460000010207,186.93557929992676,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,s,001,2021_Jul_12_1654,toilet,2021.1.3,99.88822517845452,
180,0,-4,4,0.85,0,4,4,13,,,,,,,,,,,,,,,188.76684469997417,None,188.76684469997417,None,188.26650369993877,None,f,0.9491103999316692,188.76684469997417,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,s,001,2021_Jul_12_1654,toilet,2021.1.3,99.88822517845452,
0,0,4,-4,1.15,0,5,5,3,,,,,,,,,,,,,,,190.71816539997235,None,190.71816539997235,None,190.21782989997882,None,f,0.773897499893792,190.71816539997235,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,s,001,2021_Jul_12_1654,toilet,2021.1.3,99.88822517845452,
0,180,4,-4,0.85,0,6,6,5,,,,,,,,,,,,,,,192.50938079995103,None,192.50938079995103,None,192.0090413999278,None,j,0.7108630000147969,192.50938079995103,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,s,001,2021_Jul_12_1654,toilet,2021.1.3,99.88822517845452,
0,180,-4,4,0.85,0,7,7,4,,,,,,,,,,,,,,,194.23062829999253,None,194.23062829999253,None,193.7302076999331,None,f,1.261401499970816,194.23062829999253,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,s,001,2021_Jul_12_1654,toilet,2021.1.3,99.88822517845452,
0,0,4,-4,0.85,0,8,8,1,,,,,,,,,,,,,,,196.4920830000192,None,196.4920830000192,None,195.99174369999673,None,j,0.5198704999638721,196.4920830000192,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,s,001,2021_Jul_12_1654,toilet,2021.1.3,99.88822517845452,
