ori_st,ori_pr,xpos_st,xpos_pr,size,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,wel_pra.started,wel_pra.stopped,resp_wel.keys,resp_wel.rt,resp_wel.started,resp_wel.stopped,standard_pra.started,standard_pra.stopped,prove_pra.started,prove_pra.stopped,fixation.started,fixation.stopped,resp_pra.keys,resp_pra.rt,resp_pra.started,resp_pra.stopped,instr.started,instr.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,standard.started,standard.stopped,probe.started,probe.stopped,text.started,text.stopped,resp.keys,resp.rt,resp.started,resp.stopped,text_2.started,text_2.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,11.932335199904628,None,space,65.036650099908,11.932335199904628,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,d,001,2021_Jul_01_1343,toilet,2021.1.3,99.88642910256412,
180,0,-4,4,1.15,0,0,0,14,,,,,,,,,,,,,,,77.99695109995082,None,77.99695109995082,None,77.49661959998775,None,j,0.8599356999620795,77.99695109995082,None,,,,,,,,,,,,,,,,,,,,,,,d,001,2021_Jul_01_1343,toilet,2021.1.3,99.88642910256412,
0,0,4,-4,0.85,0,1,1,1,,,,,,,,,,,,,,,79.858212799998,None,79.858212799998,None,79.35787690000143,None,j,0.5187166000250727,79.858212799998,None,,,,,,,,,,,,,,,,,,,,,,,d,001,2021_Jul_01_1343,toilet,2021.1.3,99.88642910256412,
0,180,-4,4,1.15,0,2,2,6,,,,,,,,,,,,,,,81.38925080001354,None,81.38925080001354,None,80.88901159993839,None,j,0.49169749999418855,81.38925080001354,None,,,,,,,,,,,,,,,,,,,,,,,d,001,2021_Jul_01_1343,toilet,2021.1.3,99.88642910256412,
180,0,-4,4,1.15,0,3,3,15,,,,,,,,,,,,,,,82.88034159992822,None,82.88034159992822,None,82.37999429996125,None,j,0.5364914999809116,82.88034159992822,None,,,,,,,,,,,,,,,,,,,,,,,d,001,2021_Jul_01_1343,toilet,2021.1.3,99.88642910256412,
180,0,-4,4,0.85,0,4,4,12,,,,,,,,,,,,,,,84.42130990000442,None,84.42130990000442,None,83.920970999985,None,f,0.40373620006721467,84.42130990000442,None,,,,,,,,,,,,,,,,,,,,,,,d,001,2021_Jul_01_1343,toilet,2021.1.3,99.88642910256412,
180,180,-4,4,0.85,0,5,5,9,,,,,,,,,,,,,,,85.83226339996327,None,85.83226339996327,None,85.33192159992177,None,f,0.4807542999042198,85.83226339996327,None,,,,,,,,,,,,,,,,,,,,,,,d,001,2021_Jul_01_1343,toilet,2021.1.3,99.88642910256412,
180,180,-4,4,1.15,0,6,6,10,,,,,,,,,,,,,,,87.3132670999039,None,87.3132670999039,None,86.81293209991418,None,j,0.39174720004666597,87.3132670999039,None,,,,,,,,,,,,,,,,,,,,,,,d,001,2021_Jul_01_1343,toilet,2021.1.3,99.88642910256412,
180,0,-4,4,0.85,0,7,7,13,,,,,,,,,,,,,,,88.71421649993863,None,88.71421649993863,None,88.21387689991388,None,f,0.39881789998617023,88.71421649993863,None,,,,,,,,,,,,,,,,,,,,,,,d,001,2021_Jul_01_1343,toilet,2021.1.3,99.88642910256412,
180,180,-4,4,0.85,0,8,8,8,,,,,,,,,,,,,,,90.12520809995476,None,90.12520809995476,None,89.62491000001319,None,f,0.42768009996507317,90.12520809995476,None,,,,,,,,,,,,,,,,,,,,,,,d,001,2021_Jul_01_1343,toilet,2021.1.3,99.88642910256412,
0,0,4,-4,1.15,0,9,9,3,,,,,,,,,,,,,,,91.56615239998791,None,91.56615239998791,None,91.06580889993347,None,f,0.5227913000853732,91.56615239998791,None,,,,,,,,,,,,,,,,,,,,,,,d,001,2021_Jul_01_1343,toilet,2021.1.3,99.88642910256412,
0,0,-4,4,0.85,0,10,10,0,,,,,,,,,,,,,,,93.09718929999508,None,93.09718929999508,None,92.59684709995054,None,f,0.5436987000284716,93.09718929999508,None,,,,,,,,,,,,,,,,,,,,,,,d,001,2021_Jul_01_1343,toilet,2021.1.3,99.88642910256412,
0,180,4,-4,0.85,0,11,11,5,,,,,,,,,,,,,,,94.65824879996944,None,94.65824879996944,None,94.15790759993251,None,j,0.4385780000593513,94.65824879996944,None,,,,,,,,,,,,,,,,,,,,,,,d,001,2021_Jul_01_1343,toilet,2021.1.3,99.88642910256412,
0,180,4,-4,1.15,0,12,12,7,,,,,,,,,,,,,,,96.09922579990234,None,96.09922579990234,None,95.59897369996179,None,f,0.4857668000040576,96.09922579990234,None,,,,,,,,,,,,,,,,,,,,,,,d,001,2021_Jul_01_1343,toilet,2021.1.3,99.88642910256412,
0,0,-4,4,1.15,0,13,13,2,,,,,,,,,,,,,,,97.60021910001524,None,97.60021910001524,None,97.09993529994972,None,j,0.44058339996263385,97.60021910001524,None,,,,,,,,,,,,,,,,,,,,,,,d,001,2021_Jul_01_1343,toilet,2021.1.3,99.88642910256412,
180,180,-4,4,1.15,0,14,14,11,,,,,,,,,,,,,,,99.04121629998554,None,99.04121629998554,None,98.54087859997526,None,j,0.4076511000748724,99.04121629998554,None,,,,,,,,,,,,,,,,,,,,,,,d,001,2021_Jul_01_1343,toilet,2021.1.3,99.88642910256412,
0,180,-4,4,0.85,0,15,15,4,,,,,,,,,,,,,,,100.45216719992459,None,100.45216719992459,None,99.95183479995467,None,f,0.4048309000208974,100.45216719992459,None,,,,,,,,,,,,,,,,,,,,,,,d,001,2021_Jul_01_1343,toilet,2021.1.3,99.88642910256412,
0,180,4,-4,0.85,,,,,0,0,0,0,0,0,0,21,,,,,,,,,,,,,,,,,100.8925220000092,None,space,42.828282499918714,100.8925220000092,None,144.73218289995566,None,144.73218289995566,None,144.23183489998337,None,j,0.5727383999619633,144.73218289995566,None,,,,,,,d,001,2021_Jul_01_1343,toilet,2021.1.3,99.88642910256412,
180,180,4,-4,1.15,,,,,0,0,0,0,0,1,1,41,,,,,,,,,,,,,,,,,,,,,,,146.33326499990653,None,146.33326499990653,None,145.83292369998526,None,f,0.3955438999691978,146.33326499990653,None,,,,,,,d,001,2021_Jul_01_1343,toilet,2021.1.3,99.88642910256412,
180,180,-4,4,1.0,,,,,0,0,0,0,0,2,2,31,,,,,,,,,,,,,,,,,,,,,,,147.73430919996463,None,147.73430919996463,None,147.23387260001618,None,f,0.86646439996548,147.73430919996463,None,,,,,,,d,001,2021_Jul_01_1343,toilet,2021.1.3,99.88642910256412,
0,180,4,-4,1.15,,,,,0,0,0,0,0,3,3,27,,,,,,,,,,,,,,,,,,,,,,,149.60547989991028,None,149.60547989991028,None,149.1051610999275,None,f,0.5152957000536844,149.60547989991028,None,,,,,,,d,001,2021_Jul_01_1343,toilet,2021.1.3,99.88642910256412,
180,0,-4,4,1.06,,,,,0,0,0,0,0,4,4,47,,,,,,,,,,,,,,,,,,,,,,,151.1264935999643,None,151.1264935999643,None,150.62617059994955,None,j,0.7704483000561595,151.1264935999643,None,,,,,,,d,001,2021_Jul_01_1343,toilet,2021.1.3,99.88642910256412,
180,180,4,-4,0.85,,,,,0,0,0,0,0,5,5,35,,,,,,,,,,,,,,,,,,,,,,,152.90771910001058,None,152.90771910001058,None,152.4073814000003,None,j,0.44522989995311946,152.90771910001058,None,,,,,,,d,001,2021_Jul_01_1343,toilet,2021.1.3,99.88642910256412,
180,180,4,-4,1.03,,,,,0,0,0,0,0,6,6,39,,,,,,,,,,,,,,,,,,,,,,,154.3687087999424,None,154.3687087999424,None,153.86836709990166,None,f,0.5522068999707699,154.3687087999424,None,,,,,,,d,001,2021_Jul_01_1343,toilet,2021.1.3,99.88642910256412,
180,0,-4,4,0.85,,,,,0,0,0,0,0,7,7,42,,,,,,,,,,,,,,,,,,,,,,,155.92983899998944,None,155.92983899998944,None,155.4294310999103,None,f,1.1510570999234915,155.92983899998944,None,,,,,,,d,001,2021_Jul_01_1343,toilet,2021.1.3,99.88642910256412,
180,0,-4,4,0.97,,,,,0,0,0,0,0,8,8,44,,,,,,,,,,,,,,,,,,,,,,,158.0822606999427,None,158.0822606999427,None,157.58088279992808,None,f,1.7186533000785857,158.0822606999427,None,,,,,,,d,001,2021_Jul_01_1343,toilet,2021.1.3,99.88642910256412,
180,0,4,-4,1.06,,,,,0,0,0,0,0,9,9,54,,,,,,,,,,,,,,,,,,,,,,,160.80306479998399,None,160.80306479998399,None,160.312734899926,None,f,0.6618547000689432,160.80306479998399,None,,,,,,,d,001,2021_Jul_01_1343,toilet,2021.1.3,99.88642910256412,
0,180,4,-4,1.03,,,,,0,0,0,0,0,10,10,25,,,,,,,,,,,,,,,,,,,,,,,162.46429359994363,None,162.46429359994363,None,161.96386479993816,None,f,2.8726366000482813,162.46429359994363,None,,,,,,,d,001,2021_Jul_01_1343,toilet,2021.1.3,99.88642910256412,
180,0,4,-4,0.85,,,,,0,0,0,0,0,11,11,49,,,,,,,,,,,,,,,,,,,,,,,166.3368168999441,None,166.3368168999441,None,165.8364763999125,None,j,0.6161125999642536,166.3368168999441,None,,,,,,,d,001,2021_Jul_01_1343,toilet,2021.1.3,99.88642910256412,
0,180,-4,4,1.03,,,,,0,0,0,0,0,12,12,18,,,,,,,,,,,,,,,,,,,,,,,167.97792989993468,None,167.97792989993468,None,167.4775913999183,None,j,2.0630196999991313,167.97792989993468,None,,,,,,,d,001,2021_Jul_01_1343,toilet,2021.1.3,99.88642910256412,
180,0,4,-4,1.0,,,,,0,0,0,0,0,13,13,52,,,,,,,,,,,,,,,,,,,,,,,171.0500541999936,None,171.0500541999936,None,170.5497636999935,None,j,2.33474279998336,171.0500541999936,None,,,,,,,d,001,2021_Jul_01_1343,toilet,2021.1.3,99.88642910256412,
0,180,-4,4,0.97,,,,,0,0,0,0,0,14,14,16,,,,,,,,,,,,,,,,,,,,,,,174.3922792999074,None,174.3922792999074,None,173.891947099939,None,f,0.5125596999423578,174.3922792999074,None,,,,,,,d,001,2021_Jul_01_1343,toilet,2021.1.3,99.88642910256412,
