,sub,cond,x,y,rt
8,c,IV,-0.4,0,3.43139119999978
9,c,IV,-0.8,0,0.7859485999979371
10,c,IV,0,1,1.0063797999973758
11,c,IV,-0.4,0,0.9367504000001644
12,c,IV,+0.2,1,0.9369311999980708
13,c,IV,+0.4,1,0.7513705999990634
14,c,IV,-0.2,0,2.8618280000009686
15,c,IV,0,1,0.9948713999983738
16,c,IV,+0.8,1,0.7752213999992819
17,c,IV,+0.8,1,0.7916651999985334
18,c,IV,-0.2,0,1.1021067000001494
19,c,IV,+0.4,1,0.7824734999994689
20,c,IV,-0.8,0,1.3769564000031096
21,c,IV,+0.2,1,0.6709143000007316
22,c,IV,-0.4,0,1.6133618999992905
23,c,IV,+0.2,1,0.7733417999988887
24,c,IV,+0.8,1,0.7275512000014714
25,c,IV,+0.8,1,0.6501327000005404
26,c,IV,-0.8,0,0.7170392000007269
27,c,IV,0,1,1.1132829999987734
28,c,IV,-0.8,0,0.7734968999975536
29,c,IV,-0.2,1,0.9019618999991508
30,c,IV,0,1,1.2043830000002345
31,c,IV,-0.2,0,0.8763976000009279
32,c,IV,-0.4,0,0.7609220000013011
33,c,IV,+0.4,1,0.8513195000014093
34,c,IV,+0.2,1,0.7656911000012769
35,c,IV,+0.4,1,0.7763650999986567
36,c,IV,-0.4,0,1.0168488000017533
37,c,IV,+0.2,1,0.7129664999993109
38,c,IV,+0.4,1,0.7415296999970451
39,c,IV,-0.4,0,0.685918799998035
40,c,IV,+0.4,1,0.6485388000000967
41,c,IV,+0.8,1,0.6829995999978564
42,c,IV,-0.8,0,0.6574362000028486
43,c,IV,-0.2,0,1.1941976999987671
44,c,IV,-0.2,1,1.1584593000006862
45,c,IV,0,1,0.7845357999976841
46,c,IV,+0.2,1,0.7428244000002451
47,c,IV,-0.8,0,1.237471700002061
48,c,IV,+0.8,1,0.6814903999984381
49,c,IV,0,1,1.070069400000648
50,c,IV,-0.2,0,14.540458999999828
51,c,IV,+0.8,1,0.6695635000032779
52,c,IV,+0.4,1,0.7381533000007039
53,c,IV,0,1,2.7266224999984843
54,c,IV,-0.8,0,0.7597543000010774
55,c,IV,0,1,0.9520728999996207
56,c,IV,-0.4,0,0.9166097000015724
57,c,IV,-0.2,0,2.207004500000039
58,c,IV,+0.4,1,0.7124991999990016
59,c,IV,+0.8,1,0.532796600000438
60,c,IV,-0.4,0,3.3236130000004778
61,c,IV,+0.2,1,0.6761520999971253
62,c,IV,-0.8,0,0.8626334000000497
63,c,IV,+0.2,1,0.7251887999991595
65,c,IV,0,1,3.688049500000489
66,c,IV,+0.8,1,0.5846851999995124
67,c,IV,+0.4,1,0.5570900000020629
68,c,IV,0,1,4.15380229999937
69,c,IV,-0.4,0,0.8198474000018905
70,c,IV,+0.4,1,0.6525532999985444
71,c,IV,+0.2,1,0.9329805000015768
72,c,IV,-0.2,0,0.9333120999981476
73,c,IV,-0.4,0,3.765610200000083
74,c,IV,+0.8,1,0.8279316000007384
75,c,IV,+0.2,1,0.9764809000007516
76,c,IV,-0.8,0,0.8248776999971597
77,c,IV,-0.8,0,0.9090418000014324
78,c,IV,-0.2,1,0.721655199999077
79,c,IV,-0.8,0,0.7661780999987968
80,c,IV,-0.8,0,0.7346555999974953
81,c,IV,0,1,0.6791180000000168
82,c,IV,-0.4,0,2.187776799997664
83,c,IV,+0.4,1,0.6970733000016479
84,c,IV,-0.2,0,0.7994585000014922
85,c,IV,-0.2,1,0.9241039000007732
86,c,IV,+0.8,1,0.5982551000015519
87,c,IV,+0.2,1,0.98294739999983
88,c,IV,+0.4,1,0.6773318000014115
89,c,IV,+0.8,1,0.5818070999994234
90,c,IV,0,0,1.1884558999990986
91,c,IV,-0.4,0,1.0347587000032945
92,c,IV,+0.2,1,0.6909467999976187
93,c,IV,-0.2,1,1.8915708999993512
94,c,IV,+0.2,1,0.6691415000022971
95,c,IV,-0.2,1,2.9776715000007243
96,c,IV,-0.4,0,3.0965342000017704
97,c,IV,-0.8,0,0.8133935000005295
98,c,IV,+0.4,1,0.5980529000007664
99,c,IV,-0.4,0,1.1845066999994742
