,sub,cond,x,y,rt
8,g,IB,+0.8,1,1.158213900000078
9,g,IB,0,1,1.6003109000000677
10,g,IB,0,1,1.5160592999999383
11,g,IB,-0.2,0,1.118004400000018
12,g,IB,-0.8,0,1.0982351000000108
13,g,IB,+0.2,1,0.6667458999999099
14,g,IB,-0.4,0,0.6712982000000238
15,g,IB,-0.8,0,0.6116340999999466
16,g,IB,-0.4,0,0.5102262999999994
17,g,IB,+0.4,1,0.4348473999999669
18,g,IB,-0.2,0,0.557417600000008
19,g,IB,+0.4,1,0.4581018000000086
20,g,IB,+0.2,1,0.7848897999999735
21,g,IB,+0.8,1,0.5351415999999745
22,g,IB,+0.2,1,0.8559709999999541
23,g,IB,0,1,2.4783277000000226
24,g,IB,0,1,0.7415381000000707
25,g,IB,+0.8,1,0.4621163000000479
26,g,IB,+0.8,1,0.778780299999994
27,g,IB,+0.4,1,0.5133416999999554
28,g,IB,+0.4,1,0.4757114999999885
29,g,IB,-0.2,0,0.5524315000000115
30,g,IB,-0.8,0,0.5971508999999742
31,g,IB,-0.2,0,1.1195719999999485
32,g,IB,-0.8,0,0.5238322000000153
33,g,IB,-0.4,0,0.5505885000000035
34,g,IB,-0.4,0,0.621106300000065
35,g,IB,+0.2,1,0.563754700000004
36,g,IB,+0.8,1,0.6142148000000134
37,g,IB,-0.4,0,0.5568552999999383
38,g,IB,+0.2,1,0.8694289000000026
39,g,IB,+0.2,1,0.5398074000000861
40,g,IB,+0.8,1,0.4926114999999527
41,g,IB,-0.8,0,0.3950448000000506
42,g,IB,-0.2,0,0.6478023999999323
43,g,IB,-0.2,0,0.6824366999999256
44,g,IB,0,1,0.6088644999999815
45,g,IB,+0.4,1,0.5515487000000121
46,g,IB,-0.8,0,0.494008000000008
47,g,IB,-0.4,0,0.5507719000000861
48,g,IB,+0.4,1,0.6115487999999232
49,g,IB,0,0,0.5959008999999469
50,g,IB,+0.2,1,1.0005691999999726
51,g,IB,0,0,0.6907605000000103
52,g,IB,+0.4,1,0.5692815999999539
53,g,IB,-0.2,0,0.6678929999999355
54,g,IB,-0.4,1,0.5704011999999921
55,g,IB,-0.4,0,0.9150940000000674
56,g,IB,+0.4,1,0.5833320000000413
57,g,IB,+0.8,1,0.7580330000000686
58,g,IB,-0.2,0,0.5704802000000201
59,g,IB,+0.2,1,0.7551029999999628
60,g,IB,0,0,0.5835477000000537
61,g,IB,-0.8,0,0.5662611999999854
62,g,IB,+0.8,1,0.5266928999999436
63,g,IB,-0.8,0,0.5373333000000002
65,g,IB,-0.4,0,2.9194079000000097
66,g,IB,-0.8,0,1.2483629000000749
67,g,IB,0,1,0.9386446999999408
68,g,IB,+0.4,1,0.5929792000000589
69,g,IB,+0.2,1,0.6413274999999885
70,g,IB,+0.8,1,0.4999579000000267
71,g,IB,+0.8,1,0.4769724000000224
72,g,IB,-0.2,0,0.5113607999999203
73,g,IB,-0.4,0,0.6277343000000428
74,g,IB,0,1,0.7304148000000623
75,g,IB,-0.2,0,0.6369389999999839
76,g,IB,+0.2,1,0.5537577000000056
77,g,IB,+0.4,1,0.8181445000000167
78,g,IB,-0.8,0,0.474741999999992
79,g,IB,+0.2,1,0.4774883999999702
80,g,IB,0,1,0.6238405999999941
