,sub,cond,x,y,rt
8,h,UV,+0.2,1,1.9479910999999677
9,h,UV,0,0,1.1251449999999752
10,h,UV,-0.8,0,0.9034146999999848
11,h,UV,-0.4,0,0.7738449999999375
12,h,UV,+0.8,1,1.1101912000000311
13,h,UV,-0.2,0,0.8925981999999522
14,h,UV,-0.4,0,0.8270008000000644
15,h,UV,-0.2,0,4.031158499999947
16,h,UV,+0.2,1,4.6514075999999696
17,h,UV,-0.8,0,1.1472949999999855
18,h,UV,+0.4,1,2.7775973999999906
19,h,UV,0,0,1.1926655000000892
20,h,UV,+0.4,1,3.2687185999999433
21,h,UV,+0.8,1,2.249589699999888
22,h,UV,0,0,3.483076200000028
23,h,UV,0,0,3.699683199999981
24,h,UV,+0.8,1,0.9222250999999916
25,h,UV,-0.2,0,0.9065226000000166
26,h,UV,+0.2,1,3.0168871000000763
27,h,UV,-0.4,0,0.989908899999932
28,h,UV,-0.4,0,0.8980530000000044
29,h,UV,+0.2,1,1.8348000999999383
30,h,UV,+0.8,1,0.6743619999999737
31,h,UV,+0.4,1,3.3249261000000843
32,h,UV,+0.4,1,1.163665300000048
33,h,UV,-0.8,0,0.7638087999998788
34,h,UV,-0.8,0,2.6463340000000244
35,h,UV,-0.2,0,1.539266600000019
36,h,UV,0,1,8.731283299999857
37,h,UV,-0.8,0,1.2724296999999751
38,h,UV,-0.2,0,2.6346046999999544
39,h,UV,+0.8,1,1.5317571000000498
40,h,UV,+0.2,1,4.74572689999991
41,h,UV,+0.8,1,3.2374637999998868
42,h,UV,+0.4,1,1.8763839999999163
43,h,UV,+0.2,1,1.0598786000000473
44,h,UV,-0.4,0,1.7083626000001004
45,h,UV,-0.8,0,0.9441463999999088
46,h,UV,-0.2,0,1.8044569000001047
47,h,UV,+0.4,1,1.5101564999999937
48,h,UV,0,0,2.7800116999999314
49,h,UV,-0.4,0,0.9552307999999812
50,h,UV,-0.8,0,0.5837023999999928
51,h,UV,+0.8,1,2.1082403000000345
52,h,UV,+0.2,1,1.6956990999999562
53,h,UV,+0.4,1,1.197578300000032
54,h,UV,+0.2,1,2.2658120000000963
55,h,UV,-0.4,0,0.9090585000001284
56,h,UV,0,1,3.6435267000001663
57,h,UV,-0.8,0,1.2840086000001063
58,h,UV,-0.2,0,2.2942520999999942
59,h,UV,+0.8,1,2.437549699999863
60,h,UV,-0.2,0,1.4810566999999537
61,h,UV,0,1,4.4829025999999885
62,h,UV,+0.4,1,2.018815800000084
63,h,UV,-0.4,0,1.8345705999997792
65,h,UV,+0.2,1,1.8653651999998144
66,h,UV,-0.8,0,0.8711355999998887
67,h,UV,+0.4,1,0.9636829999999464
68,h,UV,+0.8,1,1.265888799999857
69,h,UV,+0.2,1,5.767811700000037
70,h,UV,-0.2,0,0.8389647999999852
71,h,UV,-0.8,0,1.2436155000000326
72,h,UV,0,1,2.235473299999967
73,h,UV,+0.4,1,2.8549974000000016
74,h,UV,0,0,1.3081164000000172
75,h,UV,+0.8,1,1.472246099999893
76,h,UV,-0.4,0,1.9821633000001384
77,h,UV,-0.4,0,3.821856099999877
78,h,UV,-0.2,0,3.2283284999998614
79,h,UV,0,1,3.4548893999999564
80,h,UV,-0.8,0,0.9657250999998724
81,h,UV,-0.8,0,1.6839112000000114
82,h,UV,-0.4,0,1.605878900000107
83,h,UV,+0.8,1,0.9258042999999816
84,h,UV,+0.2,1,5.358108599999923
85,h,UV,+0.4,1,1.0632944000001316
86,h,UV,+0.4,1,2.917786800000158
87,h,UV,-0.2,0,1.1826584999998886
88,h,UV,+0.8,1,1.018806899999845
89,h,UV,-0.4,0,2.7952413999998957
90,h,UV,-0.2,0,2.316178300000047
91,h,UV,0,0,14.07165810000015
92,h,UV,+0.2,0,4.785147800000004
93,h,UV,0,0,2.1867869000000155
94,h,UV,0,0,5.080357000000049
95,h,UV,-0.2,0,3.9999889999999136
96,h,UV,+0.4,1,4.7041417999998885
97,h,UV,+0.2,1,5.091908999999988
98,h,UV,-0.8,0,3.851488400000108
99,h,UV,+0.4,1,1.2978520000001479
100,h,UV,-0.2,0,1.2100138999999217
101,h,UV,-0.4,0,0.7541823000001386
102,h,UV,+0.8,1,1.542686700000104
103,h,UV,+0.2,1,4.666609399999969
104,h,UV,-0.4,0,0.9345853999998326
105,h,UV,+0.8,1,1.180646300000035
106,h,UV,-0.8,0,1.1970492999998896
107,h,UV,+0.8,1,0.9111115999999128
108,h,UV,+0.8,1,1.2293240000001333
109,h,UV,-0.2,0,0.7956924000000072
110,h,UV,-0.4,0,0.7022403999999369
111,h,UV,0,1,8.186796599999981
112,h,UV,0,1,19.449947399999925
113,h,UV,-0.2,0,3.9779363999998623
114,h,UV,+0.4,1,1.2941037999999023
115,h,UV,+0.2,1,1.6386122000001249
116,h,UV,-0.8,0,0.6560463999999229
117,h,UV,+0.4,1,1.4165466000001743
118,h,UV,-0.8,0,0.7128120999998373
119,h,UV,-0.4,0,1.0511692000000041
120,h,UV,+0.2,1,9.779449000000113
131,h,UB,+0.4,1,2.046067900000025
132,h,UB,+0.8,1,0.8237644999999247
133,h,UB,-0.4,0,0.8759397999999692
134,h,UB,0,1,9.278440900000078
135,h,UB,0,0,8.724987299999839
136,h,UB,-0.4,0,3.4041156000000683
137,h,UB,+0.4,1,1.0928797000001396
138,h,UB,-0.2,1,2.490957200000139
139,h,UB,-0.8,0,1.020334000000048
140,h,UB,-0.8,0,3.16453579999984
141,h,UB,+0.8,1,1.0937781000000086
142,h,UB,-0.2,0,1.2116859999998724
143,h,UB,+0.2,1,1.8061700999999173
144,h,UB,+0.2,1,1.6296279000000595
145,h,UB,-0.8,0,1.073484899999812
146,h,UB,+0.4,1,1.1418321999999534
147,h,UB,+0.8,1,1.181964900000139
148,h,UB,-0.8,0,0.6382375000000593
149,h,UB,-0.4,0,0.8429160000000593
150,h,UB,+0.4,1,0.9172925000000304
151,h,UB,+0.2,1,2.0315756999998484
152,h,UB,+0.2,1,1.9490794000000733
153,h,UB,0,1,6.394782200000009
154,h,UB,-0.4,0,1.363432499999817
155,h,UB,-0.2,0,2.2295722999999725
156,h,UB,+0.8,1,0.800880399999869
157,h,UB,0,0,5.7894088999998985
158,h,UB,-0.2,0,1.2247411999999258
159,h,UB,-0.8,0,0.9086812999998984
160,h,UB,-0.4,0,3.7229749999999058
161,h,UB,0,0,4.9894500000000335
162,h,UB,+0.8,1,1.1131699000000026
163,h,UB,-0.4,0,1.2692093999999088
164,h,UB,+0.2,1,1.5156352999999854
165,h,UB,-0.2,0,4.755461200000127
166,h,UB,-0.2,0,1.7971457999999532
167,h,UB,+0.4,1,0.9688476999999692
168,h,UB,-0.8,0,1.3234597000000576
169,h,UB,+0.8,1,1.2436342999999397
170,h,UB,+0.4,1,3.195517299999892
171,h,UB,0,1,8.31014899999991
172,h,UB,+0.2,1,1.847642599999972
173,h,UB,+0.4,1,0.9055677999999716
174,h,UB,+0.2,1,1.4057935999999245
175,h,UB,-0.4,0,0.8298072000000047
176,h,UB,0,1,4.572194000000081
177,h,UB,-0.2,0,1.1642420999999104
178,h,UB,+0.8,1,0.8982155000001057
179,h,UB,-0.2,0,0.9346804000001612
180,h,UB,+0.4,1,1.207146300000204
181,h,UB,+0.2,1,1.7811423000000561
182,h,UB,+0.8,1,1.251147899999978
183,h,UB,0,1,16.91527649999989
184,h,UB,-0.8,0,1.5006295999999109
185,h,UB,-0.8,0,0.8767943999998806
186,h,UB,-0.4,0,1.0008625000000393
188,h,UB,-0.8,0,1.1624698999999057
189,h,UB,-0.4,0,2.9327126999999114
190,h,UB,+0.2,1,2.9958276000002115
191,h,UB,0,0,13.868555100000096
192,h,UB,+0.4,1,1.08448240000007
193,h,UB,+0.8,1,1.22843069999999
194,h,UB,0,0,2.8907148999999213
195,h,UB,-0.8,0,1.1376337000001513
196,h,UB,+0.2,1,1.7061032999999952
197,h,UB,-0.4,0,1.9597115999999917
198,h,UB,-0.2,0,2.843470199999956
199,h,UB,+0.4,1,1.0064221000000089
200,h,UB,-0.2,0,1.2088905999999042
201,h,UB,+0.8,1,1.0251934999998866
202,h,UB,+0.2,1,3.3731109999998807
203,h,UB,+0.8,1,0.915842899999916
204,h,UB,+0.2,1,0.9902069999998276
205,h,UB,-0.8,0,0.7167196999998849
206,h,UB,+0.4,1,1.2153191000002153
207,h,UB,-0.4,0,0.7391360999999961
208,h,UB,0,0,3.2759490000000824
209,h,UB,0,0,1.6284296000001175
210,h,UB,+0.8,1,0.7144625000000815
211,h,UB,-0.8,0,1.0048781999998937
212,h,UB,-0.4,0,0.9511259999999312
213,h,UB,-0.2,0,0.6374799000000166
214,h,UB,-0.2,0,0.9379595000000336
215,h,UB,+0.4,1,0.8424939000001359
216,h,UB,0,0,1.5250811999999314
217,h,UB,-0.2,0,0.7488535999998476
218,h,UB,-0.8,0,0.5711699999999382
219,h,UB,0,1,2.3499593999999893
220,h,UB,+0.8,1,0.6193346000000021
221,h,UB,-0.4,0,1.1218961000001857
222,h,UB,+0.2,1,3.2782090999999127
223,h,UB,+0.4,1,0.660793700000113
224,h,UB,+0.2,1,1.9813532999999095
225,h,UB,-0.2,0,5.389116900000089
226,h,UB,+0.8,1,1.4704246000001149
227,h,UB,+0.4,1,2.6744627000000487
228,h,UB,-0.8,0,1.1957196999999269
229,h,UB,-0.4,0,1.4216309999999341
230,h,UB,+0.2,1,2.1418853999998646
231,h,UB,-0.8,0,0.7232543000000078
232,h,UB,0,0,15.813928499999975
233,h,UB,+0.8,1,1.3559523999999783
234,h,UB,-0.2,0,0.9839740999998412
235,h,UB,0,0,0.7903933000000052
236,h,UB,+0.2,0,1.5328984999998738
237,h,UB,+0.4,1,1.7167435000001203
238,h,UB,+0.8,1,0.6166441000000304
239,h,UB,-0.8,0,0.745196599999872
240,h,UB,-0.2,0,2.4616735999998127
241,h,UB,-0.4,0,0.9789246999998796
242,h,UB,+0.4,1,1.0352543000001333
243,h,UB,-0.4,0,0.8716626000000359
254,h,UV,+0.4,1,3.1490967999998247
255,h,UV,-0.8,0,0.6396177000001444
256,h,UV,-0.4,0,1.0101801999999225
257,h,UV,+0.8,1,0.6367707000003975
258,h,UV,+0.4,1,1.1829821999999697
259,h,UV,-0.2,0,0.6133268000003227
260,h,UV,-0.2,0,0.6939781000000949
261,h,UV,+0.2,1,1.436543000000256
262,h,UV,-0.8,0,0.8144468999998935
263,h,UV,+0.2,1,6.390751899999942
264,h,UV,0,0,2.4256460999999945
265,h,UV,-0.4,0,0.8128212000001441
266,h,UV,0,1,5.173218399999769
267,h,UV,+0.8,1,0.5406359000003249
268,h,UV,+0.4,1,0.8454524000003403
269,h,UV,+0.2,1,1.9495754999998096
270,h,UV,0,0,1.163574400000016
271,h,UV,+0.8,1,0.7476286999999502
272,h,UV,-0.8,0,2.0001005000003715
273,h,UV,+0.4,1,1.099687899999935
274,h,UV,-0.4,0,0.7960100000000239
275,h,UV,-0.4,0,1.0063256999997066
276,h,UV,0,1,2.200687900000048
277,h,UV,+0.2,1,1.058119700000134
278,h,UV,-0.2,0,0.9224967000000106
279,h,UV,+0.8,1,1.002895399999943
280,h,UV,-0.2,0,4.827178200000162
281,h,UV,-0.8,0,0.6527252000000772
282,h,UV,-0.2,0,0.8693106999999145
283,h,UV,+0.2,1,1.4038227000000916
284,h,UV,-0.2,0,1.1739202999997358
285,h,UV,0,0,1.7879434000001309
286,h,UV,+0.4,1,1.9458767000000992
287,h,UV,+0.2,1,8.445416399999884
288,h,UV,-0.4,0,0.828636700000061
289,h,UV,-0.8,0,0.7852787000001626
290,h,UV,+0.8,1,0.5895039000001816
291,h,UV,-0.4,0,1.6763579000003117
292,h,UV,0,1,1.459930500000155
293,h,UV,-0.8,0,0.9299449999998616
294,h,UV,+0.4,1,0.7483710000001338
295,h,UV,+0.8,1,1.962782000000061
296,h,UV,0,1,2.2288316999997733
297,h,UV,+0.8,1,0.8321254000002227
298,h,UV,+0.2,1,0.8844663999998374
299,h,UV,-0.4,0,0.6947620000000825
300,h,UV,+0.2,1,1.8792552999998409
301,h,UV,-0.8,0,0.6889325000001918
302,h,UV,-0.2,0,0.9716180999998868
303,h,UV,0,0,2.7396764999998595
304,h,UV,-0.2,0,0.7310591999998906
305,h,UV,+0.4,1,0.7875610000000961
306,h,UV,-0.4,0,0.7319655000001148
307,h,UV,+0.8,1,1.9724981999997908
308,h,UV,-0.8,0,0.8999512999998842
309,h,UV,+0.4,1,0.8504072000000633
311,h,UV,-0.4,0,1.000950500000272
312,h,UV,+0.8,1,0.6211745999999039
313,h,UV,+0.4,1,1.0057277000000795
314,h,UV,-0.2,0,0.9741297000000486
315,h,UV,-0.8,0,0.9824610000000576
316,h,UV,+0.2,1,0.7727626999999302
317,h,UV,+0.4,1,1.201171400000021
318,h,UV,+0.8,1,1.4052509999996798
319,h,UV,0,1,1.0795312000000197
320,h,UV,-0.8,0,0.5237945000003492
321,h,UV,+0.2,1,2.3001595000000634
322,h,UV,-0.2,0,1.1157957999998869
323,h,UV,-0.4,0,0.7818968999999925
324,h,UV,0,0,3.0064928000001605
325,h,UV,+0.2,1,1.0752259000000777
326,h,UV,0,0,2.4876457000000296
327,h,UV,+0.4,1,2.3027134999997543
328,h,UV,+0.4,1,1.2302406999997402
329,h,UV,-0.8,0,0.7963756999997713
330,h,UV,-0.2,0,2.190804599999865
331,h,UV,+0.8,1,1.0524264000000585
332,h,UV,-0.4,0,0.9485394000002998
333,h,UV,0,1,1.0889717999998538
334,h,UV,-0.8,0,2.123339200000373
335,h,UV,-0.4,0,0.6407406999996965
336,h,UV,+0.8,1,0.5414439999999558
337,h,UV,-0.2,1,5.091882199999873
338,h,UV,+0.2,1,5.1154301999999925
339,h,UV,-0.8,0,0.8370669000000817
340,h,UV,0,1,0.7614936999998463
341,h,UV,-0.2,0,3.581976499999655
342,h,UV,-0.8,0,0.7867593000000852
343,h,UV,+0.8,1,0.7029585000000225
344,h,UV,+0.4,1,0.8375461999999061
345,h,UV,0,1,2.815867300000264
346,h,UV,-0.4,0,0.6949599999998101
347,h,UV,+0.2,1,0.5194602999999915
348,h,UV,+0.4,0,1.042191399999865
349,h,UV,-0.4,1,2.234521699999732
350,h,UV,+0.8,1,0.9559543999998824
351,h,UV,+0.2,1,1.159998799999812
352,h,UV,-0.2,0,0.924612199999956
353,h,UV,0,0,3.4847672000000784
354,h,UV,-0.8,0,2.277414300000146
355,h,UV,+0.8,1,0.7028218000000379
356,h,UV,-0.8,0,0.6833043000001453
357,h,UV,+0.8,1,2.4857453999998143
358,h,UV,-0.4,0,0.7270066000000952
359,h,UV,+0.2,1,1.4015832000000046
360,h,UV,+0.4,1,1.0275780000001757
361,h,UV,+0.2,1,0.7939507000000958
362,h,UV,0,1,1.7345722000000023
363,h,UV,-0.2,0,0.7163049999999203
364,h,UV,-0.2,1,2.8306887999997343
365,h,UV,+0.4,1,2.8976700000002893
366,h,UV,-0.4,0,1.5929165000002286
377,h,IV,+0.2,1,1.5692619000001289
378,h,IV,+0.4,1,1.6331014000002142
379,h,IV,+0.4,1,1.6270536000001812
380,h,IV,-0.8,0,0.8148941999997987
381,h,IV,+0.8,1,0.8930430000000342
382,h,IV,-0.2,0,1.2536031999998158
383,h,IV,-0.2,1,3.2657551000002063
384,h,IV,0,1,1.1104332999998403
385,h,IV,-0.8,0,0.8607441999997718
386,h,IV,+0.8,1,0.8190641000001051
387,h,IV,+0.2,1,1.675644899999952
388,h,IV,0,1,2.2534034000000247
389,h,IV,-0.4,0,5.4770997000000525
390,h,IV,-0.4,0,3.7561828000002606
391,h,IV,0,1,0.7484337999999298
392,h,IV,-0.4,0,3.307326900000134
393,h,IV,0,0,6.557682599999679
394,h,IV,+0.4,1,0.7902939999999035
395,h,IV,+0.4,1,0.9727792999997292
396,h,IV,-0.2,1,16.747343600000026
397,h,IV,-0.2,0,4.574767900000096
398,h,IV,-0.4,0,2.292614500000127
399,h,IV,-0.8,0,0.8782654999999977
400,h,IV,+0.8,1,0.6243685999997979
401,h,IV,+0.2,1,0.9989438000002338
402,h,IV,+0.8,1,0.8274478999996973
403,h,IV,+0.2,1,0.7676955000001726
404,h,IV,-0.8,0,0.7781334000001152
405,h,IV,0,1,1.2588336000003435
406,h,IV,-0.8,0,0.7849731000001157
407,h,IV,0,1,1.3732919000003676
408,h,IV,+0.8,1,0.6133403999997427
409,h,IV,-0.4,0,1.995998600000348
410,h,IV,+0.4,1,0.6636008999998921
411,h,IV,-0.8,0,5.462055200000123
412,h,IV,+0.2,1,0.6034745000001749
413,h,IV,-0.2,0,5.526090700000168
414,h,IV,-0.4,0,1.819189800000004
415,h,IV,+0.4,1,0.8488984000000528
416,h,IV,+0.8,1,0.5713731999999254
417,h,IV,+0.2,1,5.006037099999959
418,h,IV,-0.2,0,1.6856653999998343
419,h,IV,+0.2,1,0.9092066000002887
420,h,IV,0,0,3.0837716999999434
421,h,IV,-0.8,0,3.1247309000000314
422,h,IV,-0.2,1,2.501632299999983
423,h,IV,+0.4,1,0.5728430000003755
424,h,IV,-0.2,0,1.9094322999999351
425,h,IV,-0.4,0,2.673024100000021
426,h,IV,-0.4,0,1.8222703000001277
427,h,IV,+0.2,1,0.6919981999999436
428,h,IV,0,1,1.4984801000000516
429,h,IV,+0.4,1,1.9625276000001577
430,h,IV,+0.8,1,0.5582021000000168
431,h,IV,+0.8,1,0.6666991000001872
432,h,IV,-0.8,0,1.2734089000000497
434,h,IV,-0.8,0,3.0816807000001063
435,h,IV,+0.2,1,0.9247706999999536
436,h,IV,+0.8,1,0.7649473999999827
437,h,IV,+0.2,1,1.1755628999999317
438,h,IV,-0.4,0,1.5116496000000552
439,h,IV,-0.8,0,0.8995181999998749
440,h,IV,-0.2,0,2.0600183000001384
441,h,IV,-0.2,0,1.3774333999999726
442,h,IV,+0.4,1,0.921718399999918
443,h,IV,+0.8,1,3.507922199999939
444,h,IV,0,1,1.4965421000001695
445,h,IV,+0.4,1,0.7126221999997142
446,h,IV,0,1,4.117154699999902
447,h,IV,-0.4,0,2.173229199999696
448,h,IV,+0.8,1,2.9969155000003416
449,h,IV,-0.2,0,2.1095957999996244
450,h,IV,+0.2,1,1.8675616999998963
451,h,IV,+0.2,1,0.6769389000000956
452,h,IV,-0.2,0,1.3114599000000453
453,h,IV,+0.4,1,1.0696820000002845
454,h,IV,-0.4,0,5.633838299999753
455,h,IV,-0.4,0,2.7550799000000556
456,h,IV,+0.4,1,1.1101393999997526
457,h,IV,-0.8,0,1.4846051999998051
458,h,IV,0,0,9.39836090000017
459,h,IV,-0.8,0,0.9652571999999964
460,h,IV,+0.8,1,0.5093017000003783
461,h,IV,0,1,2.14611449999984
462,h,IV,-0.4,0,1.6936055999999553
463,h,IV,+0.2,1,1.0292958
464,h,IV,-0.2,0,0.8436996000000363
465,h,IV,0,0,5.494217299999947
