start_size,probe,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,text.started,text.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,jitter,start_size,probe_size,fix.started,fix.stopped,polygon.started,polygon.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,resp.started,resp.stopped,polygon_2.started,polygon_2.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,8.211945499991998,None,space,2.9323962000053143,8.211945499991998,None,,,,,,,,,,,,,,,,,001,2021_Jul_07_1832,RM_sample6,2021.1.3,99.89471096661661,
1,-1.5,0,0,0,0,,,,,,,0.0853793047631903,1,-1.4146206952368097,11.664248199987924,12.91518029999861,12.164583699996001,12.91518029999861,j,0.9871696000045631,13.165360599989071,None,13.165360599989071,None,13.165360599989071,None,,001,2021_Jul_07_1832,RM_sample6,2021.1.3,99.89471096661661,
1,0.5,0,1,1,4,,,,,,,0.0011724850107188434,1,0.5011724850107189,14.666365699988091,15.917220399991493,15.166710299992701,15.917220399991493,j,1.0250316000019666,16.16747359999863,None,16.16747359999863,None,16.16747359999863,None,,001,2021_Jul_07_1832,RM_sample6,2021.1.3,99.89471096661661,
10,0.5,0,2,2,11,,,,,,,0.048942426320702254,10,0.5489424263207022,17.708433399995556,18.959282600000734,18.208809799994924,18.959282600000734,j,0.9269245999894338,19.209455399992294,None,19.209455399992294,None,19.209455399992294,None,,001,2021_Jul_07_1832,RM_sample6,2021.1.3,99.89471096661661,
1,-0.5,0,3,3,2,,,,,,,-0.048026427973314294,1,-0.5480264279733142,20.640426899990416,21.891272699998808,21.140770799989696,21.891272699998808,j,0.859045299992431,22.14145229999849,None,22.14145229999849,None,22.14145229999849,None,,001,2021_Jul_07_1832,RM_sample6,2021.1.3,99.89471096661661,
10,-1.0,0,4,4,8,,,,,,,-0.04499808445029552,10,-1.0449980844502955,23.51237779999792,24.763279499995406,24.012803599995095,24.763279499995406,j,1.1548626000003424,25.01347849999729,None,25.01347849999729,None,25.01347849999729,None,,001,2021_Jul_07_1832,RM_sample6,2021.1.3,99.89471096661661,
1,1.5,0,5,5,6,,,,,,,-0.039968049685643894,1,1.4600319503143562,26.674533499986865,27.925369399992633,27.174863899999764,27.925369399992633,j,0.7929233000031672,28.175539499992738,None,28.175539499992738,None,28.175539499992738,None,,001,2021_Jul_07_1832,RM_sample6,2021.1.3,99.89471096661661,
10,-0.5,0,6,6,9,,,,,,,-0.07266828743560855,10,-0.5726682874356086,29.486431699988316,30.73729259999527,29.986769399998593,30.73729259999527,j,0.5889893999992637,30.98744799999986,None,30.98744799999986,None,30.98744799999986,None,,001,2021_Jul_07_1832,RM_sample6,2021.1.3,99.89471096661661,
10,1.5,0,7,7,13,,,,,,,0.05246714817611503,10,1.552467148176115,32.08819460000086,33.33912459999556,32.588630799989915,33.33912459999556,j,0.48314480000408366,33.58921159998863,None,33.58921159998863,None,33.58921159998863,None,,001,2021_Jul_07_1832,RM_sample6,2021.1.3,99.89471096661661,
10,1.0,0,8,8,12,,,,,,,-0.018997959124817124,10,0.9810020408751828,34.57988900000055,35.83073499999591,35.080223099997966,35.83073499999591,j,0.40763780000270344,36.08091299999796,None,36.08091299999796,None,36.08091299999796,None,,001,2021_Jul_07_1832,RM_sample6,2021.1.3,99.89471096661661,
