start_size,probe,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,text.started,text.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,fix.started,fix.stopped,polygon.started,polygon.stopped,polygon_2.started,polygon_2.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,4.994135800050572,None,space,1.972595400060527,4.994135800050572,None,,,,,,,,001,2021_Jun_30_1945,TTC_sample3,2021.1.3,99.88702774863341,
10,-1.0,0,0,0,8,,,,,,,7.014959100051783,None,8.005574900074862,None,8.005574900074862,None,,001,2021_Jun_30_1945,TTC_sample3,2021.1.3,99.88702774863341,
1,-1.5,0,1,1,0,,,,,,,8.746071200002916,None,9.736894600093365,10.487400199985132,9.736894600093365,10.487400199985132,,001,2021_Jun_30_1945,TTC_sample3,2021.1.3,99.88702774863341,
10,0.0,0,2,2,10,,,,,,,10.497409600066021,None,11.488078800030053,None,11.488078800030053,None,,001,2021_Jun_30_1945,TTC_sample3,2021.1.3,99.88702774863341,
1,1.5,0,3,3,6,,,,,,,12.23867670004256,None,13.229259200044908,13.979770399979316,13.229259200044908,13.979770399979316,,001,2021_Jun_30_1945,TTC_sample3,2021.1.3,99.88702774863341,
1,0.5,0,4,4,4,,,,,,,13.989778900053352,None,14.990490299998783,None,14.990490299998783,None,,001,2021_Jun_30_1945,TTC_sample3,2021.1.3,99.88702774863341,
1,0.0,0,5,5,3,,,,,,,15.740981700015254,None,16.73163450008724,17.482139700092375,16.73163450008724,17.482139700092375,,001,2021_Jun_30_1945,TTC_sample3,2021.1.3,99.88702774863341,
10,0.5,0,6,6,11,,,,,,,17.492148300050758,None,18.482829299988225,19.233329700073227,18.482829299988225,19.233329700073227,,001,2021_Jun_30_1945,TTC_sample3,2021.1.3,99.88702774863341,
10,-1.5,0,7,7,7,,,,,,,19.24334100005217,None,20.2340102000162,20.984516000025906,20.2340102000162,20.984516000025906,,001,2021_Jun_30_1945,TTC_sample3,2021.1.3,99.88702774863341,
1,-1.0,0,8,8,1,,,,,,,20.994599500088952,None,21.985233600018546,22.73576970002614,21.985233600018546,22.73576970002614,,001,2021_Jun_30_1945,TTC_sample3,2021.1.3,99.88702774863341,
1,-0.5,0,9,9,2,,,,,,,22.745748799992725,None,23.736382200033404,24.4868888000492,23.736382200033404,24.4868888000492,,001,2021_Jun_30_1945,TTC_sample3,2021.1.3,99.88702774863341,
10,-0.5,0,10,10,9,,,,,,,24.49689509999007,None,25.487565600080416,26.2380779000232,25.487565600080416,26.2380779000232,,001,2021_Jun_30_1945,TTC_sample3,2021.1.3,99.88702774863341,
10,1.5,0,11,11,13,,,,,,,26.248175500077195,None,27.23875980009325,None,27.23875980009325,None,,001,2021_Jun_30_1945,TTC_sample3,2021.1.3,99.88702774863341,
